sample_period,attribution_dimension,attribution_group,available_dates,dates,trade_count,trade_frequency,winning_trades,losing_trades,win_rate,total_gross_pnl,total_transaction_cost,total_net_pnl,mean_date_net_pnl,standard_deviation_date_net_pnl,standard_error_date_net_pnl,mean_trade_net_pnl,median_trade_net_pnl,total_capital_committed,return_on_committed_capital,maximum_drawdown
out_of_sample_validation,temperature_bucket,cool,1,1,1,1.0,0,1,0.0,-0.053,0.01,-0.063,-0.063,0.0,0.0,-0.063,-0.063,0.063,-1.0,0.063
out_of_sample_validation,temperature_bucket,hot,24,24,14,0.5833333333333334,1,13,0.07142857142857142,0.31049999999999994,0.14,0.17049999999999998,0.007104166666666666,0.20068355899636933,0.040964359942235795,0.012178571428571427,-0.052250000000000005,0.8295,0.2055455093429777,0.6495
out_of_sample_validation,temperature_bucket,middle,5,5,1,0.2,0,1,0.0,-0.074,0.01,-0.08399999999999999,-0.0168,0.03756594202199646,0.016799999999999995,-0.08399999999999999,-0.08399999999999999,0.08399999999999999,-1.0,0.08399999999999999
weather_plus_market_training,temperature_bucket,cool,22,22,16,0.7272727272727273,3,13,0.1875,1.943,0.16000000000000003,1.783,0.08104545454545455,0.34638087724528344,0.07384865116057919,0.1114375,-0.0405,1.2169999999999999,1.465078060805259,0.48150000000000004
weather_plus_market_training,temperature_bucket,hot,21,21,13,0.6190476190476191,2,11,0.15384615384615385,1.1714999999999998,0.13,1.0414999999999999,0.04959523809523809,0.28241997180828143,0.061629090408511625,0.08011538461538459,-0.06999999999999999,0.9584999999999999,1.0865936358894106,0.5385000000000002
weather_plus_market_training,temperature_bucket,middle,20,20,13,0.65,3,10,0.23076923076923078,1.8005,0.13,1.6705,0.083525,0.3101162971582724,0.06934411213764219,0.1285,-0.044500000000000005,1.3295,1.2564874012786764,0.33999999999999997
