sample_period,decision_rule,threshold,offset_from_frozen,frozen_threshold,is_frozen_threshold,transaction_cost_per_share,dates,trade_count,trade_frequency,winning_trades,losing_trades,win_rate,total_gross_pnl,total_transaction_cost,total_net_pnl,mean_date_net_pnl,standard_deviation_date_net_pnl,standard_error_date_net_pnl,mean_trade_net_pnl,median_trade_net_pnl,total_capital_committed,return_on_committed_capital,maximum_drawdown
weather_plus_market_training,12h_prior,0.12,-0.05000000000000002,0.17,False,0.01,60,31,0.5166666666666667,3,28,0.0967741935483871,0.4999999999999997,0.31000000000000005,0.18999999999999984,0.003166666666666664,0.1710895708187318,0.022087568616357422,0.006129032258064511,-0.057,2.81,0.06761565836298926,1.5
weather_plus_market_training,12h_prior,0.14,-0.03,0.17,False,0.01,60,19,0.31666666666666665,2,17,0.10526315789473684,0.39949999999999997,0.19,0.20949999999999985,0.003491666666666664,0.13196624156362632,0.017036768527916992,0.011026315789473683,-0.045000000000000005,1.7905,0.11700642278693095,0.9045
weather_plus_market_training,12h_prior,0.15,-0.020000000000000018,0.17,False,0.01,60,16,0.26666666666666666,2,14,0.125,0.5840000000000001,0.16000000000000003,0.4239999999999999,0.007066666666666665,0.1304967194427152,0.01684705403787792,0.026499999999999996,-0.044750000000000005,1.576,0.2690355329949238,0.6899999999999998
weather_plus_market_training,12h_prior,0.16,-0.010000000000000009,0.17,False,0.01,60,12,0.2,1,11,0.08333333333333333,0.51,0.12000000000000001,0.38999999999999996,0.0065,0.12559013239873668,0.016213616374276388,0.032499999999999994,-0.044750000000000005,0.61,0.6393442622950819,0.4840000000000001
weather_plus_market_training,12h_prior,0.17,0.0,0.17,True,0.01,60,10,0.16666666666666666,1,9,0.1,0.5980000000000001,0.09999999999999999,0.49800000000000005,0.0083,0.12505304637144854,0.016144278866304134,0.0498,-0.044750000000000005,0.502,0.9920318725099603,0.37600000000000006
weather_plus_market_training,12h_prior,0.18,0.009999999999999981,0.17,False,0.01,60,6,0.1,1,5,0.16666666666666666,0.7765,0.06,0.7165,0.011941666666666666,0.12386012790769571,0.0159902737548542,0.11941666666666666,-0.035,0.2835,2.5273368606701943,0.2325
weather_plus_market_training,12h_prior,0.19,0.01999999999999999,0.17,False,0.01,60,5,0.08333333333333333,1,4,0.2,0.8424999999999999,0.05,0.7925,0.013208333333333332,0.12333303032868564,0.015922225750009792,0.1585,-0.025500000000000002,0.20750000000000002,3.8192771084337345,0.1565
weather_plus_market_training,12h_prior,0.2,0.03,0.17,False,0.01,60,2,0.03333333333333333,0,2,0.0,-0.0895,0.02,-0.10950000000000001,-0.0018250000000000002,0.010088937136407029,0.0013024761836745989,-0.05475000000000001,-0.05475000000000001,0.10950000000000001,-1.0,0.10950000000000001
weather_plus_market_training,12h_prior,0.22,0.04999999999999999,0.17,False,0.01,60,2,0.03333333333333333,0,2,0.0,-0.0895,0.02,-0.10950000000000001,-0.0018250000000000002,0.010088937136407029,0.0013024761836745989,-0.05475000000000001,-0.05475000000000001,0.10950000000000001,-1.0,0.10950000000000001
out_of_sample_validation,12h_prior,0.12,-0.05000000000000002,0.17,False,0.01,28,9,0.32142857142857145,1,8,0.1111111111111111,0.44300000000000006,0.09,0.35300000000000004,0.012607142857142858,0.1841796806433999,0.034806687966695206,0.039222222222222214,-0.075,0.647,0.545595054095827,0.3969999999999999
out_of_sample_validation,12h_prior,0.14,-0.03,0.17,False,0.01,28,7,0.25,1,6,0.14285714285714285,0.613,0.06999999999999999,0.5429999999999999,0.01939285714285714,0.18173221840485304,0.03434416107909403,0.0775714285714286,-0.061,0.45699999999999996,1.188183807439825,0.30699999999999983
out_of_sample_validation,12h_prior,0.15,-0.020000000000000018,0.17,False,0.01,28,5,0.17857142857142858,1,4,0.2,0.7389999999999999,0.05,0.6890000000000001,0.02460714285714286,0.17995351031034623,0.03400801684530527,0.1378,-0.0465,0.311,2.2154340836012865,0.24599999999999989
out_of_sample_validation,12h_prior,0.16,-0.010000000000000009,0.17,False,0.01,28,3,0.10714285714285714,1,2,0.3333333333333333,0.7999999999999999,0.03,0.77,0.0275,0.1791724805258268,0.033860416089850076,0.25666666666666665,-0.075,0.23,3.3478260869565215,0.16499999999999992
out_of_sample_validation,12h_prior,0.17,0.0,0.17,True,0.01,28,1,0.03571428571428571,1,0,1.0,0.945,0.01,0.9349999999999999,0.03339285714285714,0.1766983911318138,0.033392857142857155,0.9349999999999999,0.9349999999999999,0.065,14.384615384615383,0.0
out_of_sample_validation,12h_prior,0.18,0.009999999999999981,0.17,False,0.01,28,1,0.03571428571428571,1,0,1.0,0.945,0.01,0.9349999999999999,0.03339285714285714,0.1766983911318138,0.033392857142857155,0.9349999999999999,0.9349999999999999,0.065,14.384615384615383,0.0
out_of_sample_validation,12h_prior,0.19,0.01999999999999999,0.17,False,0.01,28,0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
out_of_sample_validation,12h_prior,0.2,0.03,0.17,False,0.01,28,0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
out_of_sample_validation,12h_prior,0.22,0.04999999999999999,0.17,False,0.01,28,0,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0
weather_plus_market_training,24h_prior,0.08,-0.05,0.13,False,0.01,55,39,0.7090909090909091,9,30,0.23076923076923078,4.47,0.39,4.08,0.07418181818181818,0.33695564280607504,0.045435089607213826,0.1046153846153846,-0.065,4.92,0.8292682926829269,1.2229999999999999
weather_plus_market_training,24h_prior,0.1,-0.03,0.13,False,0.01,55,31,0.5636363636363636,9,22,0.2903225806451613,5.091499999999999,0.31000000000000005,4.7815,0.08693636363636364,0.33171138803106365,0.04472795443760685,0.15424193548387097,-0.055,4.2185,1.1334597605784047,1.0949999999999998
weather_plus_market_training,24h_prior,0.11,-0.020000000000000004,0.13,False,0.01,55,27,0.4909090909090909,8,19,0.2962962962962963,4.7105,0.27,4.4405,0.08073636363636363,0.31264337236351,0.04215682372950452,0.164462962962963,-0.055,3.5595000000000003,1.2475066722854333,0.7049999999999992
weather_plus_market_training,24h_prior,0.12,-0.010000000000000009,0.13,False,0.01,55,26,0.4727272727272727,8,18,0.3076923076923077,4.8004999999999995,0.26,4.5405,0.08255454545454545,0.31186263406386555,0.04205154899865651,0.17463461538461542,-0.051250000000000004,3.4595000000000002,1.3124729007081946,0.6049999999999995
weather_plus_market_training,24h_prior,0.13,0.0,0.13,True,0.01,55,19,0.34545454545454546,5,14,0.2631578947368421,2.8579999999999997,0.19,2.6679999999999997,0.048509090909090904,0.2624474107975605,0.03538840165270986,0.14042105263157895,-0.055,2.332,1.144082332761578,0.605
weather_plus_market_training,24h_prior,0.14,0.010000000000000009,0.13,False,0.01,55,15,0.2727272727272727,4,11,0.26666666666666666,2.0675,0.15,1.9175,0.03486363636363636,0.23077015690913183,0.031117041609751494,0.12783333333333333,-0.055,2.0825,0.9207683073229291,0.6755
weather_plus_market_training,24h_prior,0.15,0.01999999999999999,0.13,False,0.01,55,12,0.21818181818181817,2,10,0.16666666666666666,0.8374999999999999,0.12,0.7175000000000001,0.013045454545454548,0.18990268640287933,0.02560647301084429,0.05979166666666665,-0.06775,1.2824999999999998,0.5594541910331386,0.8765000000000003
weather_plus_market_training,24h_prior,0.16,0.03,0.13,False,0.01,55,6,0.10909090909090909,1,5,0.16666666666666666,0.29550000000000004,0.060000000000000005,0.2355,0.004281818181818182,0.1419574715799551,0.019141541562967067,0.03925,-0.047,0.7645,0.3080444735120994,0.687
weather_plus_market_training,24h_prior,0.18,0.04999999999999999,0.13,False,0.01,55,5,0.09090909090909091,0,5,0.0,-0.637,0.05,-0.687,-0.012490909090909092,0.06520973931101169,0.00879287945494959,-0.13740000000000002,-0.0475,0.687,-1.0,0.687
out_of_sample_validation,24h_prior,0.08,-0.05,0.13,False,0.01,27,21,0.7777777777777778,0,21,0.0,-1.1309999999999998,0.21000000000000002,-1.341,-0.049666666666666665,0.044512530647171526,0.008566440517151983,-0.06385714285714286,-0.0575,1.341,-1.0,1.3410000000000002
out_of_sample_validation,24h_prior,0.1,-0.03,0.13,False,0.01,27,15,0.5555555555555556,0,15,0.0,-0.796,0.15000000000000002,-0.9460000000000001,-0.03503703703703704,0.04655949996549617,0.008960379946137862,-0.06306666666666667,-0.0505,0.9460000000000001,-1.0,0.9460000000000001
out_of_sample_validation,24h_prior,0.11,-0.020000000000000004,0.13,False,0.01,27,12,0.4444444444444444,0,12,0.0,-0.561,0.12,-0.681,-0.025222222222222226,0.043014383402382755,0.008278121945463818,-0.05675,-0.04725,0.681,-1.0,0.681
out_of_sample_validation,24h_prior,0.12,-0.010000000000000009,0.13,False,0.01,27,11,0.4074074074074074,0,11,0.0,-0.516,0.11,-0.626,-0.023185185185185184,0.042851969739339996,0.008246865421437882,-0.05690909090909091,-0.0455,0.626,-1.0,0.626
out_of_sample_validation,24h_prior,0.13,0.0,0.13,True,0.01,27,10,0.37037037037037035,0,10,0.0,-0.4805,0.09999999999999999,-0.5805,-0.021500000000000002,0.042835328697412654,0.008243662851425766,-0.058050000000000004,-0.04175,0.5805,-1.0,0.5805
out_of_sample_validation,24h_prior,0.14,0.010000000000000009,0.13,False,0.01,27,9,0.3333333333333333,0,9,0.0,-0.44,0.09,-0.53,-0.019629629629629632,0.042622356131087405,0.008202676261926469,-0.05888888888888889,-0.0345,0.53,-1.0,0.53
out_of_sample_validation,24h_prior,0.15,0.01999999999999999,0.13,False,0.01,27,8,0.2962962962962963,0,8,0.0,-0.3925,0.08,-0.4725,-0.017499999999999998,0.04209056170467894,0.008100332376846313,-0.059062500000000004,-0.03275,0.4725,-1.0,0.47250000000000003
