omitted_target_date,decision_rule,selected_threshold,full_sample_frozen_threshold,threshold_change,selected_primary_rule,rule_is_primary,selection_score,training_dates_after_omission,training_trades_after_omission
2026-04-05,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-05,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008377132264786438,57,33
2026-04-05,event_day_open,0.12,0.12,0.0,event_day_open,True,0.033247104080914205,62,41
2026-04-06,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-04-06,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-06,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.006885420111885639,57,33
2026-04-06,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03282967860240515,62,42
2026-04-07,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-04-07,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-07,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.0065982843699379755,57,33
2026-04-07,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03601937821506537,62,41
2026-04-08,24h_prior,0.13,0.13,0.0,event_day_open,False,0.014624838428739594,54,18
2026-04-08,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-08,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.0065982843699379755,57,33
2026-04-08,event_day_open,0.12,0.12,0.0,event_day_open,True,0.0337536136430363,62,41
2026-04-09,24h_prior,0.13,0.13,0.0,event_day_open,False,0.014821745158297997,54,18
2026-04-09,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-09,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008111702625872453,57,33
2026-04-09,event_day_open,0.12,0.12,0.0,event_day_open,True,0.034352274819914874,62,41
2026-04-10,24h_prior,0.13,0.13,0.0,event_day_open,False,0.01511896820700917,54,18
2026-04-10,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-10,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008549850897308003,57,33
2026-04-10,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03392380911768637,62,41
2026-04-11,24h_prior,0.13,0.13,0.0,event_day_open,False,0.0003767208178271711,54,18
2026-04-11,12h_prior,0.16,0.17,-0.010000000000000009,event_day_open,False,-0.009324888724515043,59,11
2026-04-11,6h_prior,0.1,0.12,-0.01999999999999999,event_day_open,False,-0.018358607480411487,57,46
2026-04-11,event_day_open,0.12,0.12,0.0,event_day_open,True,0.02101176788092459,62,41
2026-04-12,24h_prior,0.13,0.13,0.0,event_day_open,False,0.014772425383830341,54,18
2026-04-12,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-12,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008667487293357604,57,33
2026-04-12,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03282967860240515,62,42
2026-04-13,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-04-13,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-13,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008703594947916022,57,33
2026-04-13,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03282967860240515,62,42
2026-04-14,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013120689256381046,55,19
2026-04-14,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-14,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008558915410644116,57,33
2026-04-14,event_day_open,0.12,0.12,0.0,event_day_open,True,0.033855649328905627,62,41
2026-04-15,24h_prior,0.13,0.13,0.0,event_day_open,False,0.014821745158297997,54,18
2026-04-15,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-15,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.007918131153645935,57,33
2026-04-15,event_day_open,0.12,0.12,0.0,event_day_open,True,0.033575639971222884,62,41
2026-04-16,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013120689256381046,55,19
2026-04-16,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007844278866304134,60,10
2026-04-16,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.00902622932425632,58,34
2026-04-16,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03495928494306252,62,41
2026-04-17,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013120689256381046,55,19
2026-04-17,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-17,6h_prior,0.1,0.12,-0.01999999999999999,event_day_open,False,-0.005727668718080742,57,46
2026-04-17,event_day_open,0.12,0.12,0.0,event_day_open,True,0.033830117460580914,62,41
2026-04-18,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013120689256381046,55,19
2026-04-18,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-18,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.00838624607061161,57,33
2026-04-18,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03334791709787496,62,41
2026-04-19,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-04-19,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-19,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008194311043196695,57,33
2026-04-19,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03282967860240515,62,42
2026-04-20,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-04-20,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-20,6h_prior,0.1,0.12,-0.01999999999999999,event_day_open,False,-0.005556749092410308,57,46
2026-04-20,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03282967860240515,62,42
2026-04-21,24h_prior,0.13,0.13,0.0,event_day_open,False,0.01403039875504311,54,18
2026-04-21,12h_prior,0.16,0.17,-0.010000000000000009,event_day_open,False,-0.009102932583709953,59,11
2026-04-21,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008802677131140607,57,33
2026-04-21,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03282967860240515,62,42
2026-04-22,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-04-22,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-22,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.0082949912192253,57,33
2026-04-22,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03320517076125567,62,41
2026-04-23,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-04-23,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-23,6h_prior,0.18,0.12,0.06,event_day_open,False,-0.007699570089043092,57,14
2026-04-23,event_day_open,0.12,0.12,0.0,event_day_open,True,0.0330295138400839,62,41
2026-04-24,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-04-24,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-24,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.007555597961896032,57,33
2026-04-24,event_day_open,0.12,0.12,0.0,event_day_open,True,0.034352274819914874,62,41
2026-04-25,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-04-25,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-25,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008175971798993955,57,33
2026-04-25,event_day_open,0.12,0.12,0.0,event_day_open,True,0.033584097921517966,62,41
2026-04-26,24h_prior,0.13,0.13,0.0,event_day_open,False,0.014224281251912302,54,18
2026-04-26,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-26,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.00801045099791528,57,33
2026-04-26,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03383862638339925,62,41
2026-04-27,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-04-27,12h_prior,0.16,0.17,-0.010000000000000009,event_day_open,False,-0.00909399555638848,59,11
2026-04-27,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008368015863793887,57,33
2026-04-27,event_day_open,0.12,0.12,0.0,event_day_open,True,0.0333647430231152,62,41
2026-04-28,24h_prior,0.13,0.13,0.0,24h_prior,True,0.014282639153025828,54,18
2026-04-28,12h_prior,0.17,0.17,0.0,24h_prior,False,-0.007978968061715346,59,10
2026-04-28,6h_prior,0.1,0.12,-0.01999999999999999,24h_prior,False,-0.004736014132756979,57,46
2026-04-28,event_day_open,0.13,0.12,0.010000000000000009,24h_prior,False,0.011042106867663513,62,37
2026-04-29,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-04-29,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-04-29,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008802677131140607,57,33
2026-04-29,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03282967860240515,62,42
2026-04-30,24h_prior,0.13,0.13,0.0,24h_prior,True,0.013120689256381046,55,19
2026-04-30,12h_prior,0.17,0.17,0.0,24h_prior,False,-0.007978968061715346,59,10
2026-04-30,6h_prior,0.15,0.12,0.03,24h_prior,False,-0.004295949085820715,57,21
2026-04-30,event_day_open,0.13,0.12,0.010000000000000009,24h_prior,False,0.011042106867663513,62,37
2026-05-01,24h_prior,0.13,0.13,0.0,event_day_open,False,0.014263176611094032,54,18
2026-05-01,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-05-01,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.007955090288809138,57,33
2026-05-01,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03345740696255306,62,41
2026-05-02,24h_prior,0.13,0.13,0.0,event_day_open,False,0.013369099711204029,54,19
2026-05-02,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
2026-05-02,6h_prior,0.18,0.12,0.06,event_day_open,False,-0.007699570089043095,57,14
2026-05-02,event_day_open,0.12,0.12,0.0,event_day_open,True,0.03316327984810958,62,41
2026-05-03,24h_prior,0.13,0.13,0.0,event_day_open,False,0.014428924130481198,54,18
2026-05-03,12h_prior,0.16,0.17,-0.010000000000000009,event_day_open,False,-0.008732799561388959,59,11
2026-05-03,6h_prior,0.12,0.12,0.0,event_day_open,False,-0.008431776175233108,57,33
2026-05-03,event_day_open,0.12,0.12,0.0,event_day_open,True,0.033213554032503007,62,41
2026-05-04,24h_prior,0.13,0.13,0.0,event_day_open,False,0.007876404386258903,54,18
2026-05-04,12h_prior,0.17,0.17,0.0,event_day_open,False,-0.007978968061715346,59,10
