contrast,model,benchmark,dates,full_mean_loss_difference_c,minimum_leave_one_out_mean_c,maximum_leave_one_out_mean_c,maximum_absolute_leave_one_out_change_c,most_influential_date,most_influential_date_loss_difference_c,sign_stable_under_all_leave_one_out
static_minus_raw,static,raw,365,-0.8339303814598961,-0.838832698156723,-0.8297069102290726,0.004902316696826947,2025-11-27,0.9505128961851209,True
rbf_minus_static,rbf,static,365,-0.03419308160811756,-0.03644797496274293,-0.03105754916005348,0.0031355324480640823,2025-09-14,-1.1755268927034423,True
matern_minus_static,matern,static,365,-0.04841455108832304,-0.05077925710937755,-0.04529895549247107,0.0031155955958519707,2025-09-14,-1.1824913479784422,True
matern_minus_rbf,matern,rbf,365,-0.014221469480205487,-0.014600483705494513,-0.013389426312225281,0.0008320431679802055,2026-01-27,-0.3170851826250001,True
rbf_minus_raw,rbf,raw,365,-0.8681234630680137,-0.8746823458127061,-0.8607880309040522,0.007335432163961486,2025-09-14,-3.538220770749999,True
matern_minus_raw,matern,raw,365,-0.8823449325482193,-0.8890136279593408,-0.87502943723647,0.007315495311749354,2025-09-14,-3.5451852260249987,True
