model,model_label,dates,mean_date_crps_c,median_date_crps_c,standard_deviation_date_crps_c,q05_date_crps_c,q25_date_crps_c,q75_date_crps_c,q95_date_crps_c,rank_by_mean_crps,model_order
raw,Raw point,365,1.7456849315068492,1.5,1.175644350758391,0.3,0.7500000000000009,2.5500000000000016,3.9600000000000026,4,0
static,Static Gaussian,365,0.9117545500469533,0.6943464411499987,0.5775902793651301,0.35382922796927846,0.4845724958945633,1.1663445710355502,2.0378711973548476,3,1
rbf,RBF GP,365,0.8775614684388354,0.6601472886249999,0.572588757936777,0.36724004768999996,0.466209062875,1.09215036415,1.9625597979150002,2,2
matern,Matérn-3/2 GP,365,0.8633399989586301,0.64365841025,0.5641752313979518,0.36134816464,0.456298380075,1.07948295245,1.9441820626850002,1,3
