group_type,group_value,contrast,dates,mean_loss_difference_c,mean_improvement_c,median_loss_difference_c,model_better_fraction,ordinary_date_bootstrap_lower_95_c,ordinary_date_bootstrap_upper_95_c,bootstrap_replications,seed,confirmatory_status
validation_block,1,matern_minus_static,91,0.034800073704590276,-0.034800073704590276,0.028703347902201415,0.2967032967032967,0.010733424019863467,0.060106331134792704,10000,20350802,descriptive_subgroup
validation_block,2,matern_minus_static,91,-0.06124140064602255,0.06124140064602255,-0.05078444764708623,0.6923076923076923,-0.09410127961027183,-0.030469335078964096,10000,20350803,descriptive_subgroup
validation_block,3,matern_minus_static,91,-0.04146547663823829,0.04146547663823829,0.0011389802943184701,0.4835164835164835,-0.10510942811076714,0.01950736265378122,10000,20350804,descriptive_subgroup
validation_block,4,matern_minus_static,92,-0.12491078284225972,0.12491078284225972,-0.09810589535937608,0.7608695652173914,-0.16402850952722473,-0.08907396549497675,10000,20350805,descriptive_subgroup
season,DJF,matern_minus_static,90,-0.12681127308054632,0.12681127308054632,-0.0927420282831902,0.8111111111111111,-0.16537039424458844,-0.09042642224527424,10000,20350806,descriptive_subgroup
season,JJA,matern_minus_static,92,-0.05326472176714539,0.05326472176714539,-0.04131056371550035,0.5978260869565217,-0.0858735563888561,-0.022160806786930297,10000,20350807,descriptive_subgroup
season,MAM,matern_minus_static,92,0.0285662235580039,-0.0285662235580039,0.029468266338990246,0.358695652173913,0.0031127499651044032,0.05504249587794711,10000,20350808,descriptive_subgroup
season,SON,matern_minus_static,91,-0.04380257950272229,0.04380257950272229,0.0011389802943184701,0.4725274725274725,-0.1088286076309722,0.01766585005626724,10000,20350809,descriptive_subgroup
deterministic_forecast_quartile,Q1,matern_minus_static,92,-0.039036160007557316,0.039036160007557316,-0.017978257350968557,0.6086956521739131,-0.07181945016211616,-0.006885898598535501,10000,20350810,descriptive_subgroup
deterministic_forecast_quartile,Q2,matern_minus_static,91,-0.06479019858635059,0.06479019858635059,-0.0147809350191217,0.5494505494505495,-0.10239153604441846,-0.030898228312381634,10000,20350811,descriptive_subgroup
deterministic_forecast_quartile,Q3,matern_minus_static,91,-0.023637903007169246,0.023637903007169246,0.0019018807911698188,0.4725274725274725,-0.07077660817602316,0.018643719975969277,10000,20350812,descriptive_subgroup
