scope_type,scope_value,contrast,model,benchmark,primary,dates,mean_loss_difference_c,mean_improvement_c,median_loss_difference_c,median_improvement_c,standard_deviation_loss_difference_c,q05_loss_difference_c,q10_loss_difference_c,q25_loss_difference_c,q75_loss_difference_c,q90_loss_difference_c,q95_loss_difference_c,model_better_fraction,benchmark_better_fraction,equal_fraction,gross_model_favouring_improvement_c,gross_benchmark_favouring_deterioration_c,net_total_improvement_c
decision_rule,12h_prior,static_minus_raw,static,raw,True,365,-0.8255078265506494,0.8255078265506494,-1.159716758195445,1.159716758195445,1.1473870262412416,-2.2178456756766964,-2.158667493433491,-1.9117150364976916,0.4357484143763982,0.7970559754882688,0.8567832576697685,0.6876712328767123,0.31232876712328766,0.0,374.80080801043243,73.49045131944536,301.310356690987
decision_rule,24h_prior,static_minus_raw,static,raw,True,365,-0.8522999165416942,0.8522999165416942,-1.033236128076207,1.033236128076207,1.164227540095042,-2.26832156219241,-2.205583336263524,-1.9932697410734672,0.479431484595351,0.7997162337924504,0.8458860920225528,0.6958904109589041,0.3041095890410959,0.0,385.26275264613247,74.1732831084141,311.0894695377184
decision_rule,6h_prior,static_minus_raw,static,raw,True,365,-0.8404859243705126,0.8404859243705126,-1.182688015004536,1.182688015004536,1.1486181356869407,-2.220515342435304,-2.160050518305304,-1.9159435274786691,0.38494179746167406,0.8162940990530372,0.8609806499383965,0.6931506849315069,0.30684931506849317,0.0,380.29309389438333,73.51573149914623,306.7773623952371
decision_rule,event_day_open,static_minus_raw,static,raw,True,365,-0.8174278583767284,0.8174278583767284,-1.0656025671913758,1.0656025671913758,1.1113968628963156,-2.1644623881593583,-2.119821357699162,-1.8998445741589216,0.2981481805027287,0.8081481621780523,0.8847108795917472,0.7095890410958904,0.29041095890410956,0.0,369.02092219166957,70.65975388416373,298.36116830750586
decision_rule,12h_prior,rbf_minus_static,rbf,static,False,365,-0.04140925431044645,0.04140925431044645,-0.005374528270400081,0.005374528270400081,0.23238709041722885,-0.4325397537483137,-0.25748849557757447,-0.052151869482024216,0.012615182378001022,0.0777177621595366,0.2032198112010765,0.5753424657534246,0.4246575342465753,0.0,28.674621255335325,13.560243432022368,15.114377823312955
decision_rule,24h_prior,rbf_minus_static,rbf,static,False,365,-0.019500877614470304,0.019500877614470304,-0.0006102648538411914,0.0006102648538411914,0.14911321523670282,-0.21065249357020882,-0.08110265103021638,-0.004776554678558975,0.0015990475518707914,0.0033914758637203744,0.03182293172435683,0.5561643835616439,0.4438356164383562,0.0,12.35164996766356,5.233829638381898,7.1178203292816615
decision_rule,6h_prior,rbf_minus_static,rbf,static,False,365,-0.033768046953049,0.033768046953049,-0.004413917511394416,0.004413917511394416,0.23074103739904203,-0.417246956551911,-0.22161051477235716,-0.04562400572004521,0.014181222750135725,0.07684798927105267,0.20404746206326996,0.5753424657534246,0.4246575342465753,0.0,26.536381663838704,14.211044525975822,12.325337137862885
decision_rule,event_day_open,rbf_minus_static,rbf,static,False,365,-0.04209414755450447,0.04209414755450447,-0.0032523765553633677,0.0032523765553633677,0.20956491253506102,-0.45617180213585684,-0.2333490750101185,-0.04922521948953762,0.009935652380107074,0.09620385735481506,0.1929229582819389,0.5589041095890411,0.4410958904109589,0.0,27.474010377396347,12.109646520002215,15.364363857394132
decision_rule,12h_prior,matern_minus_static,matern,static,True,365,-0.054588579113460156,0.054588579113460156,-0.020078807089723427,0.020078807089723427,0.2518535688836578,-0.47320664088486264,-0.3023419406830038,-0.12508593026819076,0.049909273525710396,0.14311719337184756,0.24911381410410327,0.5616438356164384,0.4383561643835616,0.0,38.70044821749222,18.77561684107927,19.924831376412957
decision_rule,24h_prior,matern_minus_static,matern,static,True,365,-0.031093406118305935,0.031093406118305935,-0.000399305423130214,0.000399305423130214,0.15550702812122463,-0.27195108270883556,-0.13260775789502308,-0.014322584558004614,0.002203907581058706,0.015499542426151982,0.03880640715943351,0.5863013698630137,0.4136986301369863,0.0,16.761880028906006,5.412786795724342,11.349093233181666
