phase,candidate_id,quantity,point_estimate,lower_95,upper_95,secondary_value,secondary_quantity,unit,preferred_location,source_path
phase4,P4_STAGE_STATIC_TO_RBF,static_to_rbf share of total raw-to-Matérn reduction,0.0387525108909142,,,,,fraction,Results attribution interpretation,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_thesis_candidate_summary.csv
phase4,P4_STAGE_RBF_TO_MATERN,rbf_to_matern share of total raw-to-Matérn reduction,0.0161178117033364,,,,,fraction,Results attribution interpretation,outputs/v70_empirical_finalisation/phase4_forecast_attribution/phase4_thesis_candidate_summary.csv
phase5,P5_COVERAGE_50,50% central coverage,0.4602739726027397,,,1.9624239636103489,mean interval width (°C),,Results distributional adequacy table,outputs/v70_empirical_finalisation/phase5_calibration_misspecification/phase5_thesis_candidate_summary.csv
phase5,P5_COVERAGE_80,80% central coverage,0.7828767123287671,,,3.728666747116557,mean interval width (°C),,Results distributional adequacy table,outputs/v70_empirical_finalisation/phase5_calibration_misspecification/phase5_thesis_candidate_summary.csv
phase5,P5_COVERAGE_90,90% central coverage,0.8808219178082192,,,4.785691959325668,mean interval width (°C),,Results distributional adequacy table,outputs/v70_empirical_finalisation/phase5_calibration_misspecification/phase5_thesis_candidate_summary.csv
phase5,P5_LAG1_Z,standardised_residual lag-one correlation,0.5097679178714232,0.3981875232498344,0.5878080119407294,,,,Results or diagnostic appendix,outputs/v70_empirical_finalisation/phase5_calibration_misspecification/phase5_thesis_candidate_summary.csv
phase5,P5_LAG1_Z2,squared_standardised_residual lag-one correlation,0.2382560017614505,0.0992232063343186,0.3478253431276328,,,,Results or diagnostic appendix,outputs/v70_empirical_finalisation/phase5_calibration_misspecification/phase5_thesis_candidate_summary.csv
phase5,P5_VARIANCE_WALD,conditional-variance joint cluster-robust p-value,0.0100106116582999,,,0.0270958362006404,auxiliary R²,,Results distributional adequacy table,outputs/v70_empirical_finalisation/phase5_calibration_misspecification/phase5_thesis_candidate_summary.csv
phase6,P6_JUNE_BINARY_BRIER,June Matérn minus market Binary Brier,0.009323867184877,0.0038082770324959,0.0145581093615613,,,,Results exact-support market comparison,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_JUNE_BINARY_LOG,June Matérn minus market Binary log,0.0386280615163194,0.0219310547598805,0.0541787621773924,,,,Results exact-support market comparison,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_JUNE_CATEGORICAL_LOG,June Matérn minus market Categorical log,0.3573422055687354,0.2120372922265419,0.4939119277883643,,,,Results exact-support market comparison,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_JUNE_MULTICLASS_BRIER,June Matérn minus market Multiclass Brier,0.1017095917289234,0.0423182194878928,0.1581171578689754,,,,Results exact-support market comparison,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_DEVELOPMENT_TOTAL_VARIATION_MARKET_MATERN,development total_variation_market_matern,0.2906709607365065,,,,,,Results disagreement interpretation,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_DEVELOPMENT_EXPECTED_RANK_MARKET_MINUS_MATERN,development expected_rank_market_minus_matern,0.4146104270159397,,,,,,Results disagreement interpretation,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_DEVELOPMENT_REALISED_EVENT_PROBABILITY_MARKET_MINUS_MATERN,development realised_event_probability_market_minus_matern,0.0302972884902615,,,,,,Results disagreement interpretation,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_JUNE_EXTERNAL_TOTAL_VARIATION_MARKET_MATERN,june_external total_variation_market_matern,0.278613035914764,,,,,,Results disagreement interpretation,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_JUNE_EXTERNAL_EXPECTED_RANK_MARKET_MINUS_MATERN,june_external expected_rank_market_minus_matern,0.4743919955068644,,,,,,Results disagreement interpretation,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_JUNE_EXTERNAL_REALISED_EVENT_PROBABILITY_MARKET_MINUS_MATERN,june_external realised_event_probability_market_minus_matern,0.0945036226607945,,,,,,Results disagreement interpretation,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_MOVE_24H_TO_12H,24h_to_12h mean market movement towards updated Matérn,-0.0093159760823293,,,,,,Appendix or discussion,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_MOVE_12H_TO_6H,12h_to_6h mean market movement towards updated Matérn,-0.0415837702361881,,,,,,Appendix or discussion,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_MOVE_6H_TO_OPEN,6h_to_open mean market movement towards updated Matérn,-0.0284819401706353,,,,,,Appendix or discussion,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_MOVE_24H_TO_OPEN,24h_to_open mean market movement towards updated Matérn,-0.0741866252060234,,,,,,Appendix or discussion,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase6,P6_MARKET_AGE_STATUS,market-record age coverage fraction,0.0,,,,,,Reproducibility register,outputs/v70_empirical_finalisation/phase6_market_information/phase6_thesis_candidate_summary.csv
phase7,P7_JUNE_TRADE_COUNT,trade_count,16.0,,,,,,Results trading sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_JUNE_WINNING_TRADES,winning_trades,1.0,,,,,,Results trading sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_JUNE_TOTAL_GROSS_PNL,total_gross_pnl,0.1834999999999998,,,,,,Results trading sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_JUNE_TOTAL_NET_PNL,total_net_pnl,0.0234999999999999,-1.232025,2.1705375,,,,Results trading sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_JUNE_RETURN_ON_ENTRY_CASH,return_on_entry_cash,0.0240655401945723,,,,,,Results trading sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_JUNE_MAXIMUM_DRAWDOWN,maximum_drawdown,0.7964999999999999,,,,,,Results trading sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_JUNE_BREAK_EVEN_COST_PER_TRADE,break_even_cost_per_trade,0.0114687499999999,,,,,,Results trading sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_JUNE_TOP1_CONCENTRATION,top one absolute PnL contribution share,0.5063633901976713,,,,,,Results risk attribution,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_COST_0_0000,June total net PnL at cost 0.0000,0.1834999999999998,,,,,,Results cost sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_COST_0_0025,June total net PnL at cost 0.0025,0.1435,,,,,,Results cost sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_COST_0_0050,June total net PnL at cost 0.0050,0.1034999999999999,,,,,,Results cost sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_COST_0_0100,June total net PnL at cost 0.0100,0.0234999999999999,,,,,,Results cost sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_COST_0_0150,June total net PnL at cost 0.0150,-0.0565000000000001,,,,,,Results cost sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_COST_0_0200,June total net PnL at cost 0.0200,-0.1365000000000001,,,,,,Results cost sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_COST_0_0300,June total net PnL at cost 0.0300,-0.2965,,,,,,Results cost sensitivity,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_SHIFT_M1_00,June net PnL under -1.00°C mean shift,-0.2655,,,27.0,trade count,,Results sensitivity or appendix,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_SHIFT_M0_50,June net PnL under -0.50°C mean shift,-0.169,,,21.0,trade count,,Results sensitivity or appendix,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_SHIFT_M0_25,June net PnL under -0.25°C mean shift,0.0814999999999999,,,17.0,trade count,,Results sensitivity or appendix,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_SHIFT_M0_10,June net PnL under -0.10°C mean shift,0.0234999999999999,,,16.0,trade count,,Results sensitivity or appendix,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_SHIFT_P0_00,June net PnL under +0.00°C mean shift,0.0234999999999999,,,16.0,trade count,,Results sensitivity or appendix,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_SHIFT_P0_10,June net PnL under +0.10°C mean shift,-0.0685,,,16.0,trade count,,Results sensitivity or appendix,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_SHIFT_P0_25,June net PnL under +0.25°C mean shift,-1.1395000000000002,,,15.0,trade count,,Results sensitivity or appendix,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_SHIFT_P0_50,June net PnL under +0.50°C mean shift,-1.0985,,,15.0,trade count,,Results sensitivity or appendix,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_SHIFT_P1_00,June net PnL under +1.00°C mean shift,-1.2140000000000002,,,16.0,trade count,,Results sensitivity or appendix,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_ATTR_RAW,June common-policy PnL using raw signal,-1.8075,,,30.0,trade count,,Results trading attribution,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_ATTR_STATIC,June common-policy PnL using static signal,0.0234999999999999,,,16.0,trade count,,Results trading attribution,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
phase7,P7_ATTR_MATERN,June common-policy PnL using matern signal,0.0234999999999999,,,16.0,trade count,,Results trading attribution,outputs/v70_empirical_finalisation/phase7_trading_sensitivity/phase7_thesis_candidate_summary.csv
