largest_positive_trades_removed,removed_positive_pnl,remaining_total_net_pnl,remaining_share_of_baseline
0,0.0000000000,2.4510000000,1.0000000000
1,0.9790000000,1.4720000000,0.6005711954
2,1.9240000000,0.5270000000,0.2150142799
3,2.8440000000,-0.3930000000,-0.1603427173
