model,scope_type,scope_value,series,dates,lag_days,point_autocorrelation,bootstrap_method,block_length_days,lag_pairs_per_replication,artificial_block_join_pairs_excluded,bootstrap_mean,bootstrap_bias,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
rbf,overall,all_dates,standardised_residual,365,1,0.5181000732221739,circular_moving_block_lag_pairs,3,364,True,0.5073678145851993,-0.010732258636974579,0.4185393076023353,0.5884138582345662,10000,20310806,settlement_date_lag_pair
rbf,overall,all_dates,standardised_residual,365,1,0.5181000732221739,circular_moving_block_lag_pairs,5,364,True,0.5042748735748683,-0.013825199647305553,0.41287292874396914,0.5897709127238494,10000,20310808,settlement_date_lag_pair
rbf,overall,all_dates,standardised_residual,365,1,0.5181000732221739,circular_moving_block_lag_pairs,7,364,True,0.5036369468428927,-0.014463126379281155,0.4066919154858847,0.5933352096471542,10000,20310810,settlement_date_lag_pair
rbf,overall,all_dates,standardised_residual,365,1,0.5181000732221739,circular_moving_block_lag_pairs,14,364,True,0.5003313325536879,-0.017768740668485994,0.39214101939038165,0.6000088531812469,10000,20310817,settlement_date_lag_pair
rbf,overall,all_dates,absolute_standardised_residual,365,1,0.2230812862689948,circular_moving_block_lag_pairs,3,364,True,0.2235001533650062,0.0004188670960114105,0.10630472866651502,0.33670059991760587,10000,20310906,settlement_date_lag_pair
rbf,overall,all_dates,absolute_standardised_residual,365,1,0.2230812862689948,circular_moving_block_lag_pairs,5,364,True,0.22072508057849924,-0.0023562056904955497,0.09904159125747074,0.3395618266696907,10000,20310908,settlement_date_lag_pair
rbf,overall,all_dates,absolute_standardised_residual,365,1,0.2230812862689948,circular_moving_block_lag_pairs,7,364,True,0.2186960284082449,-0.0043852578607498915,0.09319959660486608,0.336986569567645,10000,20310910,settlement_date_lag_pair
rbf,overall,all_dates,absolute_standardised_residual,365,1,0.2230812862689948,circular_moving_block_lag_pairs,14,364,True,0.21802692569947604,-0.0050543605695187455,0.09244850614405661,0.33324061686090284,10000,20310917,settlement_date_lag_pair
rbf,overall,all_dates,squared_standardised_residual,365,1,0.22094136868512002,circular_moving_block_lag_pairs,3,364,True,0.2203414482463804,-0.000599920438739604,0.10359851835693556,0.33764739659734266,10000,20311006,settlement_date_lag_pair
rbf,overall,all_dates,squared_standardised_residual,365,1,0.22094136868512002,circular_moving_block_lag_pairs,5,364,True,0.2180428605686091,-0.002898508116510906,0.09629764091103869,0.33571641096552657,10000,20311008,settlement_date_lag_pair
