model,scope_type,scope_value,dates,nominal_coverage,metric,point_estimate,bootstrap_method,block_length_days,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,seed,bootstrap_unit
rbf,decision_rule,24h_prior,365,0.9,mean_interval_width_c,4.9687139254497525,ordinary_date,,4.9514889978538505,4.985043057009502,10000,20261803,settlement_date
rbf,decision_rule,24h_prior,365,0.5,empirical_coverage,0.40821917808219177,circular_moving_block,3.0,0.3589041095890411,0.4575342465753425,10000,20261903,settlement_date
rbf,decision_rule,24h_prior,365,0.5,mean_interval_width_c,2.0374740703120846,circular_moving_block,3.0,2.0257975164408974,2.048983780858823,10000,20261903,settlement_date
rbf,decision_rule,24h_prior,365,0.8,empirical_coverage,0.7643835616438356,circular_moving_block,3.0,0.7123287671232876,0.8136986301369863,10000,20261903,settlement_date
rbf,decision_rule,24h_prior,365,0.8,mean_interval_width_c,3.8712642909783144,circular_moving_block,3.0,3.849078474382233,3.8931331000534075,10000,20261903,settlement_date
rbf,decision_rule,24h_prior,365,0.9,empirical_coverage,0.863013698630137,circular_moving_block,3.0,0.8164383561643835,0.9041095890410958,10000,20261903,settlement_date
rbf,decision_rule,24h_prior,365,0.9,mean_interval_width_c,4.9687139254497525,circular_moving_block,3.0,4.940238738125231,4.996782238026003,10000,20261903,settlement_date
rbf,decision_rule,24h_prior,365,0.5,empirical_coverage,0.40821917808219177,circular_moving_block,5.0,0.3589041095890411,0.4575342465753425,10000,20262003,settlement_date
rbf,decision_rule,24h_prior,365,0.5,mean_interval_width_c,2.0374740703120846,circular_moving_block,5.0,2.0229007511843107,2.0515591497500885,10000,20262003,settlement_date
rbf,decision_rule,24h_prior,365,0.8,empirical_coverage,0.7643835616438356,circular_moving_block,5.0,0.7068493150684931,0.8164383561643835,10000,20262003,settlement_date
rbf,decision_rule,24h_prior,365,0.8,mean_interval_width_c,3.8712642909783144,circular_moving_block,5.0,3.843574530032442,3.8980263812833904,10000,20262003,settlement_date
rbf,decision_rule,24h_prior,365,0.9,empirical_coverage,0.863013698630137,circular_moving_block,5.0,0.810958904109589,0.9095890410958904,10000,20262003,settlement_date
rbf,decision_rule,24h_prior,365,0.9,mean_interval_width_c,4.9687139254497525,circular_moving_block,5.0,4.933174502030703,5.003062696491536,10000,20262003,settlement_date
rbf,decision_rule,24h_prior,365,0.5,empirical_coverage,0.40821917808219177,circular_moving_block,7.0,0.3589041095890411,0.4602739726027397,10000,20262103,settlement_date
rbf,decision_rule,24h_prior,365,0.5,mean_interval_width_c,2.0374740703120846,circular_moving_block,7.0,2.020504710197846,2.053843870620209,10000,20262103,settlement_date
rbf,decision_rule,24h_prior,365,0.8,empirical_coverage,0.7643835616438356,circular_moving_block,7.0,0.7041095890410959,0.8191780821917808,10000,20262103,settlement_date
rbf,decision_rule,24h_prior,365,0.8,mean_interval_width_c,3.8712642909783144,circular_moving_block,7.0,3.8390219774155576,3.9023674222066855,10000,20262103,settlement_date
rbf,decision_rule,24h_prior,365,0.9,empirical_coverage,0.863013698630137,circular_moving_block,7.0,0.8081506849315074,0.9095890410958904,10000,20262103,settlement_date
rbf,decision_rule,24h_prior,365,0.9,mean_interval_width_c,4.9687139254497525,circular_moving_block,7.0,4.927331364005606,5.008634362196896,10000,20262103,settlement_date
rbf,decision_rule,24h_prior,365,0.5,empirical_coverage,0.40821917808219177,circular_moving_block,14.0,0.36164383561643837,0.4547945205479452,10000,20262203,settlement_date
rbf,decision_rule,24h_prior,365,0.5,mean_interval_width_c,2.0374740703120846,circular_moving_block,14.0,2.014774137447819,2.0593747997637157,10000,20262203,settlement_date
rbf,decision_rule,24h_prior,365,0.8,empirical_coverage,0.7643835616438356,circular_moving_block,14.0,0.7013698630136986,0.8191780821917808,10000,20262203,settlement_date
rbf,decision_rule,24h_prior,365,0.8,mean_interval_width_c,3.8712642909783144,circular_moving_block,14.0,3.8281337104298525,3.912876360112297,10000,20262203,settlement_date
rbf,decision_rule,24h_prior,365,0.9,empirical_coverage,0.863013698630137,circular_moving_block,14.0,0.8082191780821918,0.9123287671232877,10000,20262203,settlement_date
rbf,decision_rule,24h_prior,365,0.9,mean_interval_width_c,4.9687139254497525,circular_moving_block,14.0,4.913356424624164,5.022122437974866,10000,20262203,settlement_date
rbf,decision_rule,12h_prior,365,0.5,empirical_coverage,0.4520547945205479,ordinary_date,,0.4,0.5041095890410959,10000,20262803,settlement_date
rbf,decision_rule,12h_prior,365,0.5,mean_interval_width_c,1.9350470254984804,ordinary_date,,1.926380230821868,1.943491428353306,10000,20262803,settlement_date
rbf,decision_rule,12h_prior,365,0.8,empirical_coverage,0.7671232876712328,ordinary_date,,0.7232876712328767,0.810958904109589,10000,20262803,settlement_date
rbf,decision_rule,12h_prior,365,0.8,mean_interval_width_c,3.676649710702164,ordinary_date,,3.6601825304628237,3.6926943395427774,10000,20262803,settlement_date
rbf,decision_rule,12h_prior,365,0.9,empirical_coverage,0.863013698630137,ordinary_date,,0.8273972602739726,0.8986301369863013,10000,20262803,settlement_date
rbf,decision_rule,12h_prior,365,0.9,mean_interval_width_c,4.718928815875312,ordinary_date,,4.69779341885301,4.739521874048785,10000,20262803,settlement_date
rbf,decision_rule,12h_prior,365,0.5,empirical_coverage,0.4520547945205479,circular_moving_block,3.0,0.4,0.5068493150684932,10000,20262903,settlement_date
rbf,decision_rule,12h_prior,365,0.5,mean_interval_width_c,1.9350470254984804,circular_moving_block,3.0,1.9202814563372812,1.9490052202760513,10000,20262903,settlement_date
rbf,decision_rule,12h_prior,365,0.8,empirical_coverage,0.7671232876712328,circular_moving_block,3.0,0.7150684931506849,0.8164383561643835,10000,20262903,settlement_date
rbf,decision_rule,12h_prior,365,0.8,mean_interval_width_c,3.676649710702164,circular_moving_block,3.0,3.648594668695684,3.7031707161943506,10000,20262903,settlement_date
rbf,decision_rule,12h_prior,365,0.9,empirical_coverage,0.863013698630137,circular_moving_block,3.0,0.8191780821917808,0.9041095890410958,10000,20262903,settlement_date
rbf,decision_rule,12h_prior,365,0.9,mean_interval_width_c,4.718928815875312,circular_moving_block,3.0,4.682920559290627,4.752968157909654,10000,20262903,settlement_date
rbf,decision_rule,12h_prior,365,0.5,empirical_coverage,0.4520547945205479,circular_moving_block,5.0,0.39452054794520547,0.5095890410958904,10000,20263003,settlement_date
rbf,decision_rule,12h_prior,365,0.5,mean_interval_width_c,1.9350470254984804,circular_moving_block,5.0,1.9160146993610794,1.9528663838935292,10000,20263003,settlement_date
rbf,decision_rule,12h_prior,365,0.8,empirical_coverage,0.7671232876712328,circular_moving_block,5.0,0.7095890410958904,0.821917808219178,10000,20263003,settlement_date
rbf,decision_rule,12h_prior,365,0.8,mean_interval_width_c,3.676649710702164,circular_moving_block,5.0,3.6404876973428104,3.7105070475134956,10000,20263003,settlement_date
rbf,decision_rule,12h_prior,365,0.9,empirical_coverage,0.863013698630137,circular_moving_block,5.0,0.8136986301369863,0.9068493150684932,10000,20263003,settlement_date
rbf,decision_rule,12h_prior,365,0.9,mean_interval_width_c,4.718928815875312,circular_moving_block,5.0,4.672515374207266,4.7623842372179315,10000,20263003,settlement_date
rbf,decision_rule,12h_prior,365,0.5,empirical_coverage,0.4520547945205479,circular_moving_block,7.0,0.3972602739726027,0.5095890410958904,10000,20263103,settlement_date
rbf,decision_rule,12h_prior,365,0.5,mean_interval_width_c,1.9350470254984804,circular_moving_block,7.0,1.913635124400483,1.9561073910993005,10000,20263103,settlement_date
rbf,decision_rule,12h_prior,365,0.8,empirical_coverage,0.7671232876712328,circular_moving_block,7.0,0.7095890410958904,0.821917808219178,10000,20263103,settlement_date
rbf,decision_rule,12h_prior,365,0.8,mean_interval_width_c,3.676649710702164,circular_moving_block,7.0,3.635966430688717,3.716665062305102,10000,20263103,settlement_date
rbf,decision_rule,12h_prior,365,0.9,empirical_coverage,0.863013698630137,circular_moving_block,7.0,0.810958904109589,0.9095890410958904,10000,20263103,settlement_date
rbf,decision_rule,12h_prior,365,0.9,mean_interval_width_c,4.718928815875312,circular_moving_block,7.0,4.666712391280676,4.770287963636064,10000,20263103,settlement_date
rbf,decision_rule,12h_prior,365,0.5,empirical_coverage,0.4520547945205479,circular_moving_block,14.0,0.39452054794520547,0.5150684931506849,10000,20263203,settlement_date
rbf,decision_rule,12h_prior,365,0.5,mean_interval_width_c,1.9350470254984804,circular_moving_block,14.0,1.906987218245655,1.9622412799654554,10000,20263203,settlement_date
