source_filename,output_relative_path,rows,columns,sha256
phase19_coverage_summary.csv,frozen_phase19_extracts/phase19_coverage_summary.csv,150,17,90822ac1349254a63dc2ead0643464c0337f93aa94c4b9e5e5f7c0c8cb8db515
phase19_standardised_residual_summary.csv,frozen_phase19_extracts/phase19_standardised_residual_summary.csv,50,17,eb2b6f9e6e75db0fc12c301812a4984662197da4bd6dd4261238d0d63cdf845c
phase19_autocorrelation.csv,frozen_phase19_extracts/phase19_autocorrelation.csv,420,7,fa59236cf61953cc1f88acff4bbd00f393c3d5f8c082bcf7b71f5783876122d2
phase19_cross_rule_residual_correlations.csv,frozen_phase19_extracts/phase19_cross_rule_residual_correlations.csv,12,9,cea35e0686ca333bc8c0e0f4cd6b404981fb17c34232ab7fa516858aa84ca6cb
phase19_dependence_summary.csv,frozen_phase19_extracts/phase19_dependence_summary.csv,10,27,514e7c6dab30478ee214c759fdc3558bd4422a498a787bc5b283b0901007b3ef
phase19_pit_summary.csv,frozen_phase19_extracts/phase19_pit_summary.csv,18,16,a53fe26e77292683bb450c65e18c3c4d347443f39d44486df6892ce012d866d1
phase19_pit_histogram.csv,frozen_phase19_extracts/phase19_pit_histogram.csv,180,10,bde75ec0986f6657a115995b87685db1bd808936ab83eba80e53674389a04166
phase19_quantile_calibration.csv,frozen_phase19_extracts/phase19_quantile_calibration.csv,990,9,83db8ec8b039db44194320e60c8fd1dc66199e8c9b5c2cb3c92ba6274f688b97
phase19_quantile_calibration_summary.csv,frozen_phase19_extracts/phase19_quantile_calibration_summary.csv,10,12,13d57a9a0e2ad3d11c1092945fd0866cd02d7b2430014cfeeba6e3602b907960
phase19_sharpness_summary.csv,frozen_phase19_extracts/phase19_sharpness_summary.csv,50,13,680789e7182ca4f9dce3de43ca8ced63e6809444385301c34cfaf7d23ed5271c
phase19_heteroskedasticity_quartiles.csv,frozen_phase19_extracts/phase19_heteroskedasticity_quartiles.csv,120,14,46d120d1ba67cb0931711e40a1325cdebe91f6fefb6411122de76cdb59c35d28
phase19_variance_regression_summary.csv,frozen_phase19_extracts/phase19_variance_regression_summary.csv,2,10,aacb0bd11d5d69acb643f9cc662eb31ecf376b9aa6066d58635d5875cfc44b4c
phase19_variance_regression_coefficients.csv,frozen_phase19_extracts/phase19_variance_regression_coefficients.csv,22,10,1045c0721908b55ca0c965f541b897d438b1a2401b157ea7ffe4bd49ba95d4f7
phase19_reconciliation_checks.csv,frozen_phase19_extracts/phase19_reconciliation_checks.csv,8,5,a19e743ec6395bbaddf984ad29d3d59b477f03aff94b801e24bca0d074b0a1a2
