model,scope_type,scope_value,nominal_points,rows,dates,integrated_absolute_calibration_error,root_mean_squared_calibration_error,maximum_absolute_calibration_error,mean_signed_calibration_error,calibration_error_q10,calibration_error_q50,calibration_error_q90
rbf,overall,all_dates,99,1460,365,0.02303998893039989,0.028516055683803665,0.05602739726027395,0.019212674692126747,-0.007150684931506812,0.020273972602739665,0.04594520547945206
rbf,decision_rule,24h_prior,99,365,365,0.023702781237027806,0.027121449663988797,0.05410958904109586,0.0031963470319634744,-0.03358904109589043,0.0036986301369863004,0.03701369863013698
rbf,decision_rule,12h_prior,99,365,365,0.030087173100871726,0.03618871067930542,0.07178082191780821,0.028324339283243388,-0.0026301369863013235,0.031643835616438354,0.057205479452054786
rbf,decision_rule,6h_prior,99,365,365,0.02531340805313408,0.03171817757301921,0.06630136986301371,0.024062543240625435,-8.219178082191606e-05,0.019315068493150685,0.05219178082191778
rbf,decision_rule,event_day_open,99,365,365,0.02349522623495226,0.029835943111750106,0.06082191780821916,0.02126746921267469,-0.0025753424657534605,0.01876712328767123,0.04800000000000002
matern,overall,all_dates,99,1460,365,0.015588764355887644,0.018825506425436043,0.032465753424657545,0.012439463124394626,-0.005753424657534256,0.013835616438356166,0.029753424657534246
matern,decision_rule,24h_prior,99,365,365,0.019299847792998478,0.022786631760159895,0.048630136986301364,0.0033623910336239115,-0.025698630136986346,0.0017808219178082618,0.03501369863013698
matern,decision_rule,12h_prior,99,365,365,0.022803376228033762,0.02681217657206132,0.04794520547945208,0.021488861214888615,-0.0019452054794520718,0.02630136986301368,0.04008219178082192
matern,decision_rule,6h_prior,99,365,365,0.01814584198145842,0.02166061742011503,0.03972602739726028,0.01731008717310087,0.001068493150684935,0.01657534246575343,0.03353424657534245
matern,decision_rule,event_day_open,99,365,365,0.012276186522761863,0.014902096474792147,0.030547945205479432,0.00759651307596513,-0.008136986301369869,0.006301369863013717,0.024821917808219195
