model,scope_type,scope_value,series,lag_days,autocorrelation,dates
rbf,overall,all_dates,standardised_residual,1,0.5181000732221739,365
rbf,overall,all_dates,standardised_residual,2,0.34613890766873334,365
rbf,overall,all_dates,standardised_residual,3,0.3266737827411164,365
rbf,overall,all_dates,standardised_residual,4,0.2783672576921276,365
rbf,overall,all_dates,standardised_residual,5,0.25738950678762346,365
rbf,overall,all_dates,standardised_residual,6,0.26330226619526187,365
rbf,overall,all_dates,standardised_residual,7,0.1891461933165997,365
rbf,overall,all_dates,standardised_residual,8,0.18538370995368256,365
rbf,overall,all_dates,standardised_residual,9,0.1878594465263183,365
rbf,overall,all_dates,standardised_residual,10,0.17783096802465567,365
rbf,overall,all_dates,standardised_residual,11,0.16631473995371934,365
rbf,overall,all_dates,standardised_residual,12,0.21133841193846456,365
rbf,overall,all_dates,standardised_residual,13,0.24538161499289377,365
rbf,overall,all_dates,standardised_residual,14,0.17759059291814905,365
rbf,overall,all_dates,absolute_standardised_residual,1,0.2230812862689948,365
rbf,overall,all_dates,absolute_standardised_residual,2,0.1351979310681146,365
rbf,overall,all_dates,absolute_standardised_residual,3,0.1540665303796212,365
rbf,overall,all_dates,absolute_standardised_residual,4,0.01712178456980595,365
rbf,overall,all_dates,absolute_standardised_residual,5,0.007067694097255414,365
rbf,overall,all_dates,absolute_standardised_residual,6,0.002786859605530152,365
rbf,overall,all_dates,absolute_standardised_residual,7,0.05160873824319601,365
rbf,overall,all_dates,absolute_standardised_residual,8,-0.09255211276903035,365
rbf,overall,all_dates,absolute_standardised_residual,9,0.044722897334703825,365
rbf,overall,all_dates,absolute_standardised_residual,10,0.04360329343511072,365
rbf,overall,all_dates,absolute_standardised_residual,11,-0.01905257951718943,365
rbf,overall,all_dates,absolute_standardised_residual,12,0.024601262504377833,365
rbf,overall,all_dates,absolute_standardised_residual,13,0.043430638504755266,365
rbf,overall,all_dates,absolute_standardised_residual,14,0.12074104913722161,365
rbf,overall,all_dates,squared_standardised_residual,1,0.22094136868512002,365
rbf,overall,all_dates,squared_standardised_residual,2,0.1306293370885031,365
