package,certified_version,replay_version,status
numpy,1.26.4,1.26.4,PASSED
pandas,2.2.2,2.2.2,PASSED
scipy,1.13.1,1.13.1,PASSED
scikit-learn,1.4.2,1.4.2,PASSED
matplotlib,3.8.4,3.8.4,PASSED
joblib,1.4.2,1.4.2,PASSED
