relative_path,bytes,sha256,git_tracked
config/v2_completion/phase14_scope.json,2012,60890f30a4e1f579d63b82eb380495a2b284123333ac85ba5aee442546a6f0ac,True
models/v2/phase8_clean_gp/12h_prior_matern32_full_fit.joblib,4303075,08e2188d164f9790fd0dff7f37586f73b6d4dfd7e547a6a7eb62a385cdb52b4a,True
models/v2/phase8_clean_gp/24h_prior_matern32_full_fit.joblib,4303075,b65da07299227db209e55e8d7f9484b78929d6e3df382bb075da8d3a4b0ff7f9,True
models/v2/phase8_clean_gp/6h_prior_matern32_full_fit.joblib,4303075,b949bd29a8bdbbc2f935af6e039573bcd69f91e229d2cc5f405c5a658d075fae,True
models/v2/phase8_clean_gp/event_day_open_matern32_full_fit.joblib,4303091,dafd2a95fbff2aaec320845ff96a5b1667e1e5c658e59e0fcdb8cdb927752242,True
outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv,1707951,14425a244abe9374c8c7a97feef68b08be54fe48a3aa1e2b43ea41b515e9ee48,True
outputs/v2/diagnostics/06_gp_fold_matrix_panel.csv,3927646,e44685584b368f4cb062c982332cb2544abc187e21c6500afdccee3d91529e43,True
outputs/v2/diagnostics/07_gp_validation_predictions.csv,5010460,6cf36d253393d4a752096a79b9113648bd74b69ed12f0e970c8c39346cbbf33e,True
outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv,2316918,3d795b8aa4d9261383c3ec559894401cb8d68936ef8354db6ab6e2aecd4a2f19,True
outputs/v2/diagnostics/phase13_verified_evidence_pack/phase13_manifest.json,2210,f069976876f9d556bbefa677ca8d34ad4cb77f2ca372364e0c95d4e97daed1a5,True
outputs/v2/diagnostics/phase13_verified_evidence_pack/phase13_report.md,4566,f9199a6c13ca464eb87556257e0dc914778c930512066b1fb84d0bf8a117099f,True
outputs/v2/diagnostics/phase9_gp_event_probabilities/phase9_gp_contract_event_probability_panel.csv,1324481,f2f0290ea18dc1858e069997f8949339f61ca11018665641ff606bd515596d34,True
tools/v2_completion/build_phase15_gp_reconciliation.py,46374,606b031399fd47d4c3f1c7ab0ef12e4532f623c4e29fcfacff97fb21ed265f90,True
tools/v2_completion/build_phase16_static_benchmarks.py,70725,de4bce871d5286ade3986bd96fe11fc5dc00ba92afbfd8abda5382d950f8314a,True
tools/v2_completion/build_phase17_error_missing_support.py,55170,522d5d4da860cbdf3e3ad5722c62c27f56d579f735ae1a7f16393ff6f1f023c5,True
tools/v2_completion/build_phase18_gp_stability.py,84646,3ee93ecfa7977a9dd684c206cf970c2e2724c918b3151e45f7845cf054cffe08,True
tools/v2_completion/build_phase19_predictive_diagnostics.py,89805,1780f0ab766196fd6b3f0e5831bcfb829dd25257b153c4fa88ab14c56f4992c6,True
tools/v2_completion/build_phase20_forecast_combination.py,89696,d9e40a8622bb6461e077b6ab02f084d1311a3cdcab104f906cd7f5ea7df417df,True
