model,fold_id,fold_number,observations,dates,decision_rules,minimum_rules_within_date,mean_crps_c,median_crps_c,standard_deviation_crps_c,q25_crps_c,q75_crps_c,mean_absolute_temperature_error_c,aggregation
matern32,fold_01,1,91,91,4,4,0.9624694816780477,0.7080033597379641,0.7021351293964787,0.4767809578375162,1.1959112213526544,1.36298397534478,equal target-date weight after averaging rules within date
matern32,fold_02,2,91,91,4,4,0.8840643730510727,0.7105345401654258,0.523036384824328,0.45511079173849733,1.127688373172075,1.280000830504945,equal target-date weight after averaging rules within date
matern32,fold_03,3,91,91,4,4,0.8524678279638267,0.6383530287691066,0.5247651557705963,0.4617503747308189,1.0675340860142755,1.212899038188187,equal target-date weight after averaging rules within date
matern32,fold_04,4,92,92,4,4,0.755542896680799,0.5743257962591255,0.4696414722015881,0.4356166598211902,0.9287667227548985,1.0682740410192935,equal target-date weight after averaging rules within date
raw_point,fold_01,1,91,91,4,4,1.9203296703296704,1.8999999999999977,1.137290347516558,1.0875000000000012,2.612500000000001,1.9203296703296704,equal target-date weight after averaging rules within date
raw_point,fold_02,2,91,91,4,4,2.460989010989011,2.45,1.1296275737752932,1.5999999999999996,3.349999999999999,2.460989010989011,equal target-date weight after averaging rules within date
raw_point,fold_03,3,91,91,4,4,1.4978021978021976,1.200000000000001,1.0840167610407772,0.5624999999999996,2.2874999999999988,1.4978021978021976,equal target-date weight after averaging rules within date
raw_point,fold_04,4,92,92,4,4,1.1105978260869567,0.8375000000000008,0.9020827069094676,0.4624999999999987,1.3500000000000008,1.1105978260869567,equal target-date weight after averaging rules within date
rbf,fold_01,1,91,91,4,4,0.9554844276546655,0.7083099207367922,0.7150553998418591,0.47374283436296316,1.2402022450349035,1.344827781479121,equal target-date weight after averaging rules within date
rbf,fold_02,2,91,91,4,4,0.89917732673526,0.7197841136747978,0.5326346362258529,0.4473267561567066,1.1323913952884694,1.3013372189346153,equal target-date weight after averaging rules within date
rbf,fold_03,3,91,91,4,4,0.8464228363785236,0.6726833416634501,0.5134551805673394,0.4663055041800226,1.0523799371228861,1.2048326469076922,equal target-date weight after averaging rules within date
rbf,fold_04,4,92,92,4,4,0.8099047632689578,0.5872645142545612,0.502283056745358,0.4817035814489813,1.0416669531200426,1.1652549681809783,equal target-date weight after averaging rules within date
static_gaussian,fold_01,1,91,91,4,4,0.927669407972058,0.6657928617691495,0.6930013451702369,0.4740133101877858,1.1515125957825365,1.3025748908625618,equal target-date weight after averaging rules within date
static_gaussian,fold_02,2,91,91,4,4,0.9453057737004181,0.7359949832123373,0.5562457355594097,0.49032244636504796,1.280637090943421,1.3689927944862152,equal target-date weight after averaging rules within date
static_gaussian,fold_03,3,91,91,4,4,0.8939333046027987,0.7421184151157747,0.5278546163254714,0.46685960133891613,1.0880277080930834,1.2872375796050384,equal target-date weight after averaging rules within date
static_gaussian,fold_04,4,92,92,4,4,0.8804536795226945,0.6702505804135253,0.5245987300261745,0.5085497221385421,1.0916481807166611,1.2795394916178278,equal target-date weight after averaging rules within date
