model,rule_block_cells,best_cells,mean_rank,median_rank,rank_standard_deviation,minimum_rank,maximum_rank,mean_rule_block_crps_c
matern32,16,9,1.625,1.0,0.8062257748298548,1.0,3.0,0.8636361448434365
rbf,16,3,1.875,2.0,0.5000000000000001,1.0,3.0,0.8777473385093517
static_gaussian,16,4,2.5,3.0,0.8944271909999161,1.0,3.0,0.9118405414494923
raw_point,16,0,4.0,4.0,0.0,4.0,4.0,1.7474296763019588
