check,maximum_absolute_error,tolerance,status,detail
stored corrected temperature error,6.38378239159465e-15,1e-08,PASSED,stored value versus outcome minus predictive mean
stored standardised residual,1.4301448914011416e-10,1e-08,PASSED,stored value versus corrected error divided by predictive standard deviation
stored PIT value,6.607403513214649e-11,1e-08,PASSED,stored value versus Gaussian CDF of standardised residual
Gaussian quantile reconstruction,2.056168568742578e-10,5e-08,PASSED,q01_c through q99_c versus predictive mean plus Gaussian quantile times predictive standard deviation
quantile monotonicity,0.0,1e-12,PASSED,largest decrease between consecutive stored predictive quantiles
stored central 50% coverage,0.0,0.0,PASSED,stored indicator versus interval reconstructed from predictive quantiles
stored central 80% coverage,0.0,0.0,PASSED,stored indicator versus interval reconstructed from predictive quantiles
stored central 90% coverage,0.0,0.0,PASSED,stored indicator versus interval reconstructed from predictive quantiles
