sample_period,decision_rule,signed_rank_bucket,metric,event_rows,books,dates,mean,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,bootstrap_unit
june_out_of_sample,6h_prior,2,clr_log_ratio_market_minus_gp,28,28,28,0.25571001309361746,-0.08137670384117009,0.5721002325239163,10000,target_date
june_out_of_sample,6h_prior,<=-3,gp_minus_market_probability,110,29,29,0.012418453826028294,0.010452927819804293,0.01443510498742433,10000,target_date
june_out_of_sample,6h_prior,<=-3,clr_log_ratio_market_minus_gp,110,29,29,-0.43708949378506595,-0.7934504896697054,-0.11364755652698161,10000,target_date
june_out_of_sample,6h_prior,>=3,gp_minus_market_probability,66,25,25,0.002178882258954849,-0.009418758526836784,0.011329862046254996,10000,target_date
june_out_of_sample,6h_prior,>=3,clr_log_ratio_market_minus_gp,66,25,25,0.008258883981307861,-0.38622611736533285,0.4033640796645947,10000,target_date
june_out_of_sample,event_day_open,-1,gp_minus_market_probability,30,30,30,0.041533430386172326,-3.469003410890612e-05,0.08332740805801868,10000,target_date
june_out_of_sample,event_day_open,-1,clr_log_ratio_market_minus_gp,30,30,30,-0.6171058878785414,-1.1296239586718682,-0.13026729093373968,10000,target_date
june_out_of_sample,event_day_open,-2,gp_minus_market_probability,30,30,30,0.046855466362124246,0.014481895706140094,0.07387453761378533,10000,target_date
june_out_of_sample,event_day_open,-2,clr_log_ratio_market_minus_gp,30,30,30,-1.4958100517377633,-2.0535630980250015,-0.9344938427113489,10000,target_date
june_out_of_sample,event_day_open,0,gp_minus_market_probability,30,30,30,-0.02076212003282809,-0.06465325887737396,0.02262065835561966,10000,target_date
june_out_of_sample,event_day_open,0,clr_log_ratio_market_minus_gp,30,30,30,0.009787778542404174,-0.5016213737996859,0.46470483658649075,10000,target_date
june_out_of_sample,event_day_open,1,gp_minus_market_probability,28,28,28,-0.07228326000136365,-0.11992322608944951,-0.025683798951156137,10000,target_date
june_out_of_sample,event_day_open,1,clr_log_ratio_market_minus_gp,28,28,28,0.4117749449138679,-0.017897216959530025,0.7669620859489374,10000,target_date
june_out_of_sample,event_day_open,2,gp_minus_market_probability,28,28,28,-0.024752487594993846,-0.06880244157367615,0.015571417526803806,10000,target_date
june_out_of_sample,event_day_open,2,clr_log_ratio_market_minus_gp,28,28,28,0.05078172005064602,-0.4199002633671628,0.4702494762465324,10000,target_date
june_out_of_sample,event_day_open,<=-3,gp_minus_market_probability,116,30,30,0.00908851718501627,0.00478675887121755,0.01270032884086329,10000,target_date
june_out_of_sample,event_day_open,<=-3,clr_log_ratio_market_minus_gp,116,30,30,-0.3858032800882491,-0.9134250952713664,0.10061996097243446,10000,target_date
june_out_of_sample,event_day_open,>=3,gp_minus_market_probability,68,24,24,0.001971821297296592,-0.007308433459819266,0.009411624133567291,10000,target_date
june_out_of_sample,event_day_open,>=3,clr_log_ratio_market_minus_gp,68,24,24,0.24822154361323,-0.21811471403007607,0.7160336141280507,10000,target_date
weather_plus_market_development,12h_prior,-1,gp_minus_market_probability,60,60,60,0.06682248314396579,0.039798596331290605,0.0919899124638122,10000,target_date
weather_plus_market_development,12h_prior,-1,clr_log_ratio_market_minus_gp,60,60,60,-1.4774404843509898,-1.7634431027172592,-1.204122097885516,10000,target_date
weather_plus_market_development,12h_prior,-2,gp_minus_market_probability,60,60,60,0.060312932480936735,0.044119920941031406,0.07481454216073664,10000,target_date
weather_plus_market_development,12h_prior,-2,clr_log_ratio_market_minus_gp,60,60,60,-2.051878934714282,-2.3251991961164196,-1.7911125534647874,10000,target_date
weather_plus_market_development,12h_prior,0,gp_minus_market_probability,60,60,60,0.002128760956026849,-0.026327877166119836,0.03120402434358252,10000,target_date
weather_plus_market_development,12h_prior,0,clr_log_ratio_market_minus_gp,60,60,60,-0.8419272900977987,-1.1922082368935316,-0.5151168064879703,10000,target_date
weather_plus_market_development,12h_prior,1,gp_minus_market_probability,51,51,51,-0.07718435305088799,-0.10190458731351523,-0.05166224523001198,10000,target_date
weather_plus_market_development,12h_prior,1,clr_log_ratio_market_minus_gp,51,51,51,-0.10668350888520972,-0.38455170794642146,0.15255367035648526,10000,target_date
weather_plus_market_development,12h_prior,2,gp_minus_market_probability,51,51,51,-0.056247834351914855,-0.08558815984063269,-0.026949631655816163,10000,target_date
weather_plus_market_development,12h_prior,2,clr_log_ratio_market_minus_gp,51,51,51,-0.1511005568548449,-0.5010166467899061,0.1711331446107401,10000,target_date
weather_plus_market_development,12h_prior,<=-3,gp_minus_market_probability,321,60,60,0.005152343256389405,0.0024836989198239886,0.007499070157130685,10000,target_date
weather_plus_market_development,12h_prior,<=-3,clr_log_ratio_market_minus_gp,321,60,60,0.5821390806065416,0.35320710308391684,0.8006799913160361,10000,target_date
weather_plus_market_development,12h_prior,>=3,gp_minus_market_probability,57,37,37,-0.04200684078810932,-0.06653476823514982,-0.018281264245085516,10000,target_date
weather_plus_market_development,12h_prior,>=3,clr_log_ratio_market_minus_gp,57,37,37,0.38192338906347373,0.009773203889152302,0.7588337775132388,10000,target_date
weather_plus_market_development,24h_prior,-1,gp_minus_market_probability,55,55,55,0.033863159977562646,0.004824480691126274,0.06182731153777944,10000,target_date
weather_plus_market_development,24h_prior,-1,clr_log_ratio_market_minus_gp,55,55,55,-1.4261239297851287,-1.7357776309199677,-1.1470405593328976,10000,target_date
weather_plus_market_development,24h_prior,-2,gp_minus_market_probability,55,55,55,0.0427905441970635,0.02363423203442407,0.0608508379757344,10000,target_date
weather_plus_market_development,24h_prior,-2,clr_log_ratio_market_minus_gp,55,55,55,-2.0127717646359984,-2.2727280224691175,-1.7542944774145726,10000,target_date
weather_plus_market_development,24h_prior,0,gp_minus_market_probability,55,55,55,0.02040152269508321,-0.007674353472767917,0.05007241689932921,10000,target_date
weather_plus_market_development,24h_prior,0,clr_log_ratio_market_minus_gp,55,55,55,-1.135375825479568,-1.532431133806185,-0.7702174000334288,10000,target_date
weather_plus_market_development,24h_prior,1,gp_minus_market_probability,43,43,43,-0.06456411687566016,-0.08670258998619922,-0.04072053059456781,10000,target_date
weather_plus_market_development,24h_prior,1,clr_log_ratio_market_minus_gp,43,43,43,-0.24757373223821885,-0.4756469534329696,-0.026539516118842706,10000,target_date
weather_plus_market_development,24h_prior,2,gp_minus_market_probability,43,43,43,-0.05647323661431806,-0.08992116544555535,-0.022867786941640694,10000,target_date
weather_plus_market_development,24h_prior,2,clr_log_ratio_market_minus_gp,43,43,43,-0.3391710762033844,-0.6963936751545623,0.01645805905463549,10000,target_date
weather_plus_market_development,24h_prior,<=-3,gp_minus_market_probability,314,55,55,0.004783947763014848,0.0019813080337123218,0.007099509438968938,10000,target_date
weather_plus_market_development,24h_prior,<=-3,clr_log_ratio_market_minus_gp,314,55,55,0.6880639218887913,0.4838918502053912,0.8708789064955499,10000,target_date
weather_plus_market_development,24h_prior,>=3,gp_minus_market_probability,40,25,25,-0.026183114155013048,-0.04632755586194147,-0.006998575082044206,10000,target_date
weather_plus_market_development,24h_prior,>=3,clr_log_ratio_market_minus_gp,40,25,25,0.20826622031165154,-0.27656493824381634,0.6813355002892627,10000,target_date
weather_plus_market_development,6h_prior,-1,gp_minus_market_probability,58,58,58,0.05086387764025137,0.018241696196966837,0.08209598854974977,10000,target_date
weather_plus_market_development,6h_prior,-1,clr_log_ratio_market_minus_gp,58,58,58,-1.3587985921602388,-1.683265924261438,-1.039515980484482,10000,target_date
weather_plus_market_development,6h_prior,-2,gp_minus_market_probability,58,58,58,0.048329195363365274,0.026311140828551426,0.06930026257625073,10000,target_date
weather_plus_market_development,6h_prior,-2,clr_log_ratio_market_minus_gp,58,58,58,-2.1078099552894587,-2.3934645267044043,-1.8402168169575635,10000,target_date
weather_plus_market_development,6h_prior,0,gp_minus_market_probability,58,58,58,0.013978206234715115,-0.02382524827811838,0.052973363714500336,10000,target_date
weather_plus_market_development,6h_prior,0,clr_log_ratio_market_minus_gp,58,58,58,-0.9231295903342027,-1.3857383913586028,-0.49840111297760964,10000,target_date
weather_plus_market_development,6h_prior,1,gp_minus_market_probability,45,45,45,-0.0981582669288429,-0.13702471451163747,-0.05913862083315101,10000,target_date
weather_plus_market_development,6h_prior,1,clr_log_ratio_market_minus_gp,45,45,45,0.10317720260278743,-0.22778185073124999,0.4206003960633811,10000,target_date
weather_plus_market_development,6h_prior,2,gp_minus_market_probability,44,44,44,-0.05760896406959273,-0.09432225953343797,-0.022541662023048515,10000,target_date
weather_plus_market_development,6h_prior,2,clr_log_ratio_market_minus_gp,44,44,44,-0.013923044595912022,-0.3825172199460049,0.3327543018081495,10000,target_date
weather_plus_market_development,6h_prior,<=-3,gp_minus_market_probability,331,58,58,0.004809486241912976,0.0010378675236072624,0.008109162629687229,10000,target_date
weather_plus_market_development,6h_prior,<=-3,clr_log_ratio_market_minus_gp,331,58,58,0.5987400641601058,0.38419660192914407,0.8025153170426058,10000,target_date
weather_plus_market_development,6h_prior,>=3,gp_minus_market_probability,44,30,30,-0.02307005667687289,-0.06819514473456587,0.008896031927791453,10000,target_date
weather_plus_market_development,6h_prior,>=3,clr_log_ratio_market_minus_gp,44,30,30,-0.02291713635352187,-0.46027397475144377,0.3916938022687272,10000,target_date
weather_plus_market_development,event_day_open,-1,gp_minus_market_probability,63,63,63,0.04959921731683638,0.015170950891860302,0.08357029649701768,10000,target_date
weather_plus_market_development,event_day_open,-1,clr_log_ratio_market_minus_gp,63,63,63,-1.6383934828747395,-1.9901418814780538,-1.304243504858988,10000,target_date
weather_plus_market_development,event_day_open,-2,gp_minus_market_probability,63,63,63,0.06239624660443686,0.040418706666897314,0.08186585213238125,10000,target_date
weather_plus_market_development,event_day_open,-2,clr_log_ratio_market_minus_gp,63,63,63,-2.6428309537465626,-2.957933022190528,-2.3349626236062537,10000,target_date
weather_plus_market_development,event_day_open,0,gp_minus_market_probability,63,63,63,-0.0314781967562816,-0.0745277407554996,0.011218794616503828,10000,target_date
weather_plus_market_development,event_day_open,0,clr_log_ratio_market_minus_gp,63,63,63,-1.047743520526079,-1.4806083879948448,-0.6361920626879132,10000,target_date
weather_plus_market_development,event_day_open,1,gp_minus_market_probability,52,52,52,-0.08006526792849535,-0.12055763089015026,-0.03970778842245945,10000,target_date
weather_plus_market_development,event_day_open,1,clr_log_ratio_market_minus_gp,52,52,52,-0.4304579560795512,-0.8095401642627567,-0.09017947421016918,10000,target_date
weather_plus_market_development,event_day_open,2,gp_minus_market_probability,50,50,50,-0.04503925247799105,-0.087804222117388,-0.005885686161891609,10000,target_date
weather_plus_market_development,event_day_open,2,clr_log_ratio_market_minus_gp,50,50,50,-0.6013354354844086,-1.000843832588241,-0.19663904165919416,10000,target_date
weather_plus_market_development,event_day_open,<=-3,gp_minus_market_probability,362,63,63,0.005641744845390369,0.003488303249720712,0.007510166346093598,10000,target_date
weather_plus_market_development,event_day_open,<=-3,clr_log_ratio_market_minus_gp,362,63,63,0.9566553254696362,0.759005325185406,1.1476167402312833,10000,target_date
weather_plus_market_development,event_day_open,>=3,gp_minus_market_probability,40,28,28,-0.010143359646222363,-0.03318521402700264,0.008538061636639907,10000,target_date
weather_plus_market_development,event_day_open,>=3,clr_log_ratio_market_minus_gp,40,28,28,-0.1589455185935062,-0.6979506682821387,0.36719684339118164,10000,target_date
