model,scope,scope_value,nominal_coverage,rows,dates,decision_rules,empirical_coverage,coverage_error,bootstrap_lower_95_coverage,bootstrap_upper_95_coverage,bootstrap_lower_95_coverage_error,bootstrap_upper_95_coverage_error,mean_interval_width_c,median_interval_width_c,bootstrap_replications,bootstrap_unit
rbf,overall,all,0.5,1460,365,4,0.44246575342465755,-0.05753424657534245,0.4,0.4863013698630137,-0.09999999999999998,-0.0136986301369863,1.9381296192710273,1.9587128213500016,10000,target_date
rbf,overall,all,0.8,1460,365,4,0.7678082191780822,-0.03219178082191787,0.7308219178082191,0.8034246575342465,-0.0691780821917809,0.003424657534246478,3.6825067350247256,3.7216154610749994,10000,target_date
rbf,overall,all,0.9,1460,365,4,0.8691780821917808,-0.03082191780821919,0.839041095890411,0.8972602739726028,-0.06095890410958904,-0.002739726027397249,4.72644622521185,4.7766417317,10000,target_date
rbf,decision_rule,24h_prior,0.5,365,365,1,0.40821917808219177,-0.09178082191780823,0.3589041095890411,0.4575342465753425,-0.14109589041095888,-0.042465753424657526,2.037474070338082,2.0409313229000006,10000,target_date
rbf,decision_rule,24h_prior,0.8,365,365,1,0.7643835616438356,-0.03561643835616446,0.7205479452054795,0.8082191780821918,-0.07945205479452055,0.008219178082191747,3.8712642910019177,3.8778331785999995,10000,target_date
rbf,decision_rule,24h_prior,0.9,365,365,1,0.863013698630137,-0.03698630136986303,0.8273972602739726,0.8986301369863013,-0.07260273972602738,-0.00136986301369868,4.968713925492329,4.977145001500002,10000,target_date
rbf,decision_rule,12h_prior,0.5,365,365,1,0.4520547945205479,-0.04794520547945208,0.40273972602739727,0.5041095890410959,-0.09726027397260273,0.004109589041095929,1.9350470254997258,1.9595228712000008,10000,target_date
rbf,decision_rule,12h_prior,0.8,365,365,1,0.7671232876712328,-0.03287671232876721,0.7232876712328767,0.8082191780821918,-0.0767123287671233,0.008219178082191747,3.676649710706575,3.7231545809999993,10000,target_date
rbf,decision_rule,12h_prior,0.9,365,365,1,0.863013698630137,-0.03698630136986303,0.8273972602739726,0.8986301369863013,-0.07260273972602738,-0.00136986301369868,4.718928815881096,4.778617170799997,10000,target_date
rbf,decision_rule,6h_prior,0.5,365,365,1,0.4575342465753425,-0.042465753424657526,0.40821917808219177,0.5095890410958904,-0.09178082191780823,0.009589041095890427,1.933007547084658,1.952509061899999,10000,target_date
rbf,decision_rule,6h_prior,0.8,365,365,1,0.7726027397260274,-0.0273972602739726,0.7287671232876712,0.8136986301369863,-0.07123287671232881,0.013698630136986245,3.67277463810137,3.7098281244999995,10000,target_date
rbf,decision_rule,6h_prior,0.9,365,365,1,0.8547945205479452,-0.045205479452054775,0.8191780821917808,0.8904109589041096,-0.08082191780821923,-0.009589041095890427,4.713955214036164,4.761512849099997,10000,target_date
rbf,decision_rule,event_day_open,0.5,365,365,1,0.4520547945205479,-0.04794520547945208,0.4,0.5041095890410959,-0.09999999999999998,0.004109589041095929,1.8469898341616444,1.8778319337999996,10000,target_date
rbf,decision_rule,event_day_open,0.8,365,365,1,0.7671232876712328,-0.03287671232876721,0.7232876712328767,0.8082191780821918,-0.0767123287671233,0.008219178082191747,3.509338300289041,3.567939251800002,10000,target_date
rbf,decision_rule,event_day_open,0.9,365,365,1,0.8958904109589041,-0.004109589041095929,0.863013698630137,0.9260273972602739,-0.03698630136986303,0.02602739726027392,4.504186945437808,4.579400452399998,10000,target_date
rbf,validation_block,fold_01,0.5,364,91,4,0.4065934065934066,-0.09340659340659341,0.3241758241758242,0.4945054945054945,-0.1758241758241758,-0.005494505494505475,1.8732222123142859,1.9058025724499998,10000,target_date
rbf,validation_block,fold_01,0.8,364,91,4,0.7445054945054945,-0.05549450549450552,0.6648351648351648,0.8186813186813187,-0.13516483516483524,0.018681318681318615,3.5591806370785717,3.6210843376499993,10000,target_date
rbf,validation_block,fold_01,0.9,364,91,4,0.8434065934065934,-0.056593406593406614,0.7747252747252747,0.9065934065934066,-0.12527472527472527,0.00659340659340657,4.568158892136539,4.647611431675,10000,target_date
rbf,validation_block,fold_02,0.5,364,91,4,0.3901098901098901,-0.10989010989010989,0.3076923076923077,0.47802197802197804,-0.1923076923076923,-0.021978021978021955,1.9356414878925825,1.9587010152249977,10000,target_date
rbf,validation_block,fold_02,0.8,364,91,4,0.717032967032967,-0.082967032967033,0.6346153846153846,0.7939560439560439,-0.16538461538461546,-0.0060439560439561335,3.6777792077714286,3.7215930290999983,10000,target_date
rbf,validation_block,fold_02,0.9,364,91,4,0.8516483516483516,-0.0483516483516484,0.7884615384615384,0.9065934065934066,-0.11153846153846159,0.00659340659340657,4.72037850967967,4.776612940574998,10000,target_date
rbf,validation_block,fold_03,0.5,364,91,4,0.47802197802197804,-0.021978021978021955,0.3956043956043956,0.5631868131868132,-0.10439560439560441,0.06318681318681318,1.9595495105541207,1.9925036159000005,10000,target_date
rbf,validation_block,fold_03,0.8,364,91,4,0.7884615384615384,-0.011538461538461608,0.7225274725274725,0.8516483516483516,-0.07747252747252753,0.051648351648351576,3.7232051966464286,3.7858190247500003,10000,target_date
rbf,validation_block,fold_03,0.9,364,91,4,0.8681318681318682,-0.031868131868131866,0.8104395604395604,0.9203296703296703,-0.08956043956043958,0.020329670329670257,4.778682135188187,4.859046113524999,10000,target_date
rbf,validation_block,fold_04,0.5,368,92,4,0.4945652173913043,-0.005434782608695676,0.4076086956521739,0.5815217391304348,-0.09239130434782611,0.08152173913043481,1.983605531029076,2.0200787459750007,10000,target_date
rbf,validation_block,fold_04,0.8,368,92,4,0.8206521739130435,0.020652173913043415,0.7472826086956522,0.8858695652173914,-0.05271739130434783,0.08586956521739131,3.7689123859548914,3.8382126320625,10000,target_date
rbf,validation_block,fold_04,0.9,368,92,4,0.9130434782608695,0.01304347826086949,0.8614130434782609,0.9592391304347826,-0.03858695652173916,0.05923913043478257,4.837346677553533,4.9262925804625,10000,target_date
rbf,rule_by_validation_block,12h_prior|fold_01,0.5,91,91,1,0.4175824175824176,-0.0824175824175824,0.31868131868131866,0.5164835164835165,-0.18131868131868134,0.016483516483516536,1.8614567936999997,1.9022617538000013,10000,target_date
