model,decision_rule,observations,dates,decision_rules,mean_crps_c,median_crps_c,standard_deviation_crps_c,q25_crps_c,q75_crps_c,mean_absolute_temperature_error_c,aggregation
matern32,12h_prior,365,365,1,0.8733282518698245,0.6344611957850281,0.6321619208411162,0.412128928223326,1.1504950891451629,1.2392360199334247,equal target-date weight within each decision rule
matern32,24h_prior,365,365,1,0.9226340745993121,0.6935607738749858,0.6528904178478271,0.4322876200834975,1.129793958934877,1.321437656508767,equal target-date weight within each decision rule
matern32,6h_prior,365,365,1,0.8720526988891689,0.6215114989419894,0.640817153487166,0.4124872043254464,1.1237567277099267,1.237530677740274,equal target-date weight within each decision rule
matern32,event_day_open,365,365,1,0.7853449704739324,0.5819694418073779,0.528413274504752,0.3926087914245966,1.0520963983590166,1.124169800132329,equal target-date weight within each decision rule
raw_point,12h_prior,365,365,1,1.7534246575342465,1.599999999999998,1.232914240819089,0.6999999999999993,2.599999999999998,1.7534246575342465,equal target-date weight within each decision rule
raw_point,24h_prior,365,365,1,1.806027397260274,1.5,1.2847015514003262,0.7999999999999972,2.799999999999997,1.806027397260274,equal target-date weight within each decision rule
raw_point,6h_prior,365,365,1,1.76,1.599999999999998,1.2280333603228921,0.7000000000000028,2.599999999999998,1.76,equal target-date weight within each decision rule
raw_point,event_day_open,365,365,1,1.6632876712328768,1.400000000000002,1.1803194468821745,0.6999999999999957,2.6000000000000014,1.6632876712328768,equal target-date weight within each decision rule
rbf,12h_prior,365,365,1,0.8865075766743994,0.6214978395861868,0.644344491224905,0.4116950288739665,1.1259477181225004,1.2610606194416438,equal target-date weight within each decision rule
rbf,24h_prior,365,365,1,0.9342266031050096,0.7208422065339755,0.6561909064683521,0.4369003496239976,1.1395629293601754,1.341121568480548,equal target-date weight within each decision rule
rbf,6h_prior,365,365,1,0.8857460286807707,0.6236091372205478,0.6523192967224815,0.4126361535092441,1.120711432882541,1.2605460610339725,equal target-date weight within each decision rule
rbf,event_day_open,365,365,1,0.8037656653006202,0.588609050484312,0.5404007082603854,0.3958228449504462,1.049118798825135,1.1525511261550685,equal target-date weight within each decision rule
static_gaussian,12h_prior,365,365,1,0.9279168309835972,0.6882849635023064,0.6517710332023615,0.4506014588901194,1.1836729243565207,1.33007156206153,equal target-date weight within each decision rule
static_gaussian,24h_prior,365,365,1,0.9537274807185798,0.7675284468734481,0.6512398590573668,0.448180006562331,1.2648523297892078,1.3773051307930861,equal target-date weight within each decision rule
static_gaussian,6h_prior,365,365,1,0.9195140756294873,0.6836622542353973,0.6500083937856718,0.447428280901725,1.1775072756003575,1.3167888744104332,equal target-date weight within each decision rule
static_gaussian,event_day_open,365,365,1,0.8458598128561484,0.6704020076195384,0.5505608912797956,0.4021182946532414,1.1543867497093057,1.2138499104296068,equal target-date weight within each decision rule
