response,term,coefficient,date_cluster_robust_standard_error,z_statistic,two_sided_normal_p_value,rows,date_clusters,reference_rule,temperature_source
expected_rank_shift_market_minus_gp,intercept,0.4698997398999892,0.09214504710111254,5.09956589836412,3.404333341079442e-07,350,97,24h_prior,gp_temperature_mean_c
expected_rank_shift_market_minus_gp,june_indicator,-0.018702140202816298,0.19102699069013163,-0.09790312947531787,0.9220092149657484,350,97,24h_prior,gp_temperature_mean_c
expected_rank_shift_market_minus_gp,time_z,0.21127516054578732,0.099615991904116,2.120896017871782,0.03393055385740723,350,97,24h_prior,gp_temperature_mean_c
expected_rank_shift_market_minus_gp,rule_12h_prior,0.037875087637209565,0.06557810758578919,0.5775568864603393,0.5635633217654032,350,97,24h_prior,gp_temperature_mean_c
expected_rank_shift_market_minus_gp,rule_6h_prior,-0.0659381378914922,0.07534461879239772,-0.8751539120952505,0.3814901662345571,350,97,24h_prior,gp_temperature_mean_c
expected_rank_shift_market_minus_gp,rule_event_day_open,-0.04523443349311972,0.09001888756113682,-0.5024993611746036,0.6153163016492695,350,97,24h_prior,gp_temperature_mean_c
expected_rank_shift_market_minus_gp,temperature_level_z,-0.29005251439405644,0.05944322287328805,-4.879488365096655,1.0636139745864741e-06,350,97,24h_prior,gp_temperature_mean_c
total_variation_distance,intercept,0.27374016499602455,0.014386583254355028,19.02746191755846,1.0102885672868625e-80,350,97,24h_prior,gp_temperature_mean_c
total_variation_distance,june_indicator,-0.02614147652918196,0.030004789819875324,-0.8712434476666693,0.3836212415076179,350,97,24h_prior,gp_temperature_mean_c
total_variation_distance,time_z,0.029836798635019483,0.01627304275927198,1.8335107377518078,0.06672665319949295,350,97,24h_prior,gp_temperature_mean_c
total_variation_distance,rule_12h_prior,0.0024333933777769268,0.012680736468489565,0.19189684951056904,0.8478230053092253,350,97,24h_prior,gp_temperature_mean_c
total_variation_distance,rule_6h_prior,0.03321765161009961,0.015938501357223585,2.0841138614983294,0.037149811484902734,350,97,24h_prior,gp_temperature_mean_c
total_variation_distance,rule_event_day_open,0.04915813764450862,0.015772849155763026,3.116630176263836,0.0018293089647463724,350,97,24h_prior,gp_temperature_mean_c
total_variation_distance,temperature_level_z,-0.03634472471962667,0.010024487440488419,-3.6255943194494007,0.000288297644841647,350,97,24h_prior,gp_temperature_mean_c
