model,decision_rule,observations,dates,decision_rules,mean_crps_c,median_crps_c,mean_absolute_temperature_error_c
matern32,12h_prior,365,365,1,0.8733282518698247,0.6344611957850281,1.2392360199334247
matern32,24h_prior,365,365,1,0.9226340745993121,0.6935607738749858,1.321437656508767
matern32,6h_prior,365,365,1,0.8720526988891689,0.6215114989419894,1.237530677740274
matern32,event_day_open,365,365,1,0.7853449704739324,0.5819694418073779,1.124169800132329
raw_point,12h_prior,365,365,1,1.7534246575342465,1.5999999999999979,1.7534246575342465
raw_point,24h_prior,365,365,1,1.806027397260274,1.5,1.806027397260274
raw_point,6h_prior,365,365,1,1.76,1.5999999999999979,1.76
raw_point,event_day_open,365,365,1,1.6632876712328764,1.4000000000000021,1.6632876712328764
rbf,12h_prior,365,365,1,0.8865075766743994,0.6214978395861868,1.2610606194416438
rbf,24h_prior,365,365,1,0.9342266031050096,0.7208422065339755,1.341121568480548
rbf,6h_prior,365,365,1,0.8857460286807707,0.6236091372205478,1.2605460610339727
rbf,event_day_open,365,365,1,0.8037656653006202,0.588609050484312,1.1525511261550685
static_gaussian,12h_prior,365,365,1,0.9279168309835972,0.6882849635023064,1.33007156206153
static_gaussian,24h_prior,365,365,1,0.9537274807185798,0.7675284468734481,1.3773051307930861
static_gaussian,6h_prior,365,365,1,0.9195140756294873,0.6836622542353973,1.3167888744104332
static_gaussian,event_day_open,365,365,1,0.8458598128561484,0.6704020076195384,1.2138499104296068
