gp_weight,market_weight,binary_brier,binary_log,categorical_log,multiclass_brier,development_dates,development_books,probability_pool
0.0,1.0,0.06712373182206949,0.2150588789125089,1.519731289280677,0.7383610500427642,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.001,0.999,0.06711497749272992,0.21501424842697414,1.5193114546121682,0.7382647524200293,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.002,0.998,0.06710623837757339,0.21496993873492745,1.518895007147755,0.7381686221533071,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.003,0.997,0.06709751447659985,0.21492594404872548,1.518481883328296,0.7380726592425984,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.004,0.996,0.06708880578980932,0.21488225878123965,1.5180720218000487,0.7379768636879026,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.005,0.995,0.06708011231720182,0.21483887753614778,1.5176653633078756,0.73788123548922,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.006,0.994,0.06707143405877733,0.21479579509881813,1.5172618505949693,0.7377857746465504,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.007,0.993,0.06706277101453584,0.21475300642774242,1.51686142830862,0.7376904811598941,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.008,0.992,0.06705412318447733,0.2147105066464787,1.5164640429115854,0.7375953550292509,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.009,0.991,0.06704549056860187,0.2146682910360677,1.5160696425986713,0.7375003962546209,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.01,0.99,0.06703687316690941,0.21462635502788904,1.515678177218151,0.7374056048360037,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.011,0.989,0.06702827097939999,0.21458469419692724,1.515289598197694,0.7373109807733998,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.012,0.988,0.06701968400607354,0.21454330425541918,1.5149038584744856,0.7372165240668088,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.013,0.987,0.06701111224693011,0.21450218104685698,1.5145209124292636,0.7371222347162313,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.014,0.986,0.06700255570196972,0.21446132054032313,1.5141407158240012,0.7370281127216667,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.015,0.985,0.0669940143711923,0.21442071882513472,1.5137632257429994,0.7369341580831154,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.016,0.984,0.06698548825459791,0.21438037210577787,1.5133884005371598,0.7368403708005771,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.017,0.983,0.06697697735218652,0.21434027669711228,1.5130161997712426,0.7367467508740517,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.018,0.982,0.06696848166395815,0.21430042901982946,1.5126465841739034,0.7366532983035395,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.019,0.981,0.0669600011899128,0.21426082559614837,1.5122795155903483,0.7365600130890406,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.02,0.98,0.06695153593005045,0.2142214630457332,1.511914956937429,0.7364668952305548,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.021,0.979,0.06694308588437109,0.21418233808182013,1.5115528721610372,0.736373944728082,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.022,0.978,0.06693465105287476,0.21414344750753944,1.5111932261956518,0.7362811615816225,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.023,0.977,0.06692623143556144,0.2141047882124222,1.5108359849259103,0.7361885457911759,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.024,0.976,0.06691782703243115,0.21406635716907912,1.510481115150079,0.7360960973567425,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.025,0.975,0.06690943784348385,0.21402815143004283,1.5101285845453163,0.7360038162783223,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.026,0.974,0.06690106386871957,0.2139901681247623,1.509778361634616,0.7359117025559152,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.027,0.973,0.06689270510813829,0.21395240445674218,1.509430415755336,0.735819756189521,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.028,0.972,0.06688436156174003,0.2139148577008172,1.5090847170292232,0.7357279771791403,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.029,0.971,0.06687603322952476,0.21387752520055542,1.5087412363338433,0.7356363655247724,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.03,0.97,0.06686772011149253,0.2138404043657813,1.508399945275342,0.7355449212264178,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.031,0.969,0.06685942220764328,0.2138034926702138,1.508060816162461,0.7354536442840762,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.032,0.968,0.06685113951797707,0.21376678764921145,1.5077238219817333,0.7353625346977477,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.033,0.967,0.06684287204249385,0.21373028689761941,1.507388936373808,0.7352715924674323,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.034,0.966,0.06683461978119365,0.21369398806771311,1.507056133610823,0.73518081759313,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.035,0.965,0.06682638273407646,0.2136578888672323,1.5067253885747869,0.7350902100748411,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.036,0.964,0.06681816090114227,0.213621987057502,1.5063966767369064,0.7349997699125651,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.037,0.963,0.06680995428239112,0.2135862804516346,1.5060699741378105,0.7349094971063022,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.038,0.962,0.06680176287782295,0.2135507669128094,1.505745257368628,0.7348193916560525,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.039,0.961,0.06679358668743782,0.21351544435262557,1.5054225035528703,0.7347294535618156,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.04,0.96,0.06678542571123566,0.21348031072952472,1.505101690329078,0.7346396828235923,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.041,0.959,0.06677727994921653,0.2134453640472794,1.5047827958342,0.7345500794413821,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.042,0.958,0.06676914940138043,0.21341060235354423,1.5044657986876508,0.7344606434151845,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.043,0.957,0.0667610340677273,0.2133760237384666,1.5041506779760334,0.7343713747450004,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.044,0.956,0.06675293394825722,0.21334162633335396,1.5038374132384789,0.7342822734308296,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.045,0.955,0.06674484904297015,0.21330740830939499,1.5035259844525783,0.7341933394726716,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.046,0.954,0.06673677935186606,0.21327336787643159,1.5032163720208802,0.7341045728705267,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.047,0.953,0.06672872487494501,0.21323950328178012,1.5029085567579183,0.7340159736243951,67,236,convex linear pool of coherent GP and normalised market book probabilities
0.048,0.952,0.06672068561220695,0.21320581280909842,1.502602519877754,0.7339275417342765,67,236,convex linear pool of coherent GP and normalised market book probabilities
