path,rows,date_col,unique_dates,rule_col,unique_rules,model_col,unique_models,unique_date_rule_keys,january_to_may_dates,june_dates,columns,read_error
data/interim/notebook02_sources/daily_max_forecasts/07_18s_expanded_exact_common_support_panel.csv,3889,event_date,97,decision_rule,4,final_modelling_split,1,355,67,30,event_date|market_id|condition_id|event_id|event_slug|market_slug|question|canonical_label|event_type|contract_event_type|lower_bound_c|upper_bound_c|bound_reference_c|bound_reconstruction_applied|bound_reference_source|source_lower_bound_column|source_upper_bound_column|selected_yes_token_id|no_token_id|hko_daily_max_c|Y_event_int|Y_no_int|sample_block|final_modelling_split|outcome_history_admissibility_status|decision_rule|decision_rule_order|decision_cutoff_hkt|decision_cutoff_utc|p_market|selected_price_timestamp_utc|price_staleness_hours|market_binary_brier|market_binary_log_score|source_price_timestamp_column|source_cutoff_column|selected_run_initialisation_utc|selected_run_available_utc|selected_run_key|forecast_daily_max_c|forecast_error_c|absolute_error_c|deterministic_forecast_event_indicator|source_forecast_max_column|source_run_initialisation_column|source_run_available_column|run_metadata_reconstructed|common_book_size|complete_common_book,
data/processed/17l_hko_contract_rule_text_certification_decision.csv,254,event_date,19,combined_rule_text_hash,254,,,167,9,2,event_id|event_slug|event_url|event_title|market_id|market_slug|market_question|market_title|outcome_label_text|threshold_K|looks_upper_tail|raw_event_json_path|raw_market_json_path|raw_event_html_path|html_status|html_error|combined_rule_text_hash|combined_rule_text_excerpt|lowerBound|upperBound|groupItemThreshold|groupItemRange|groupItemTitle|resolutionSource|description|rules|volume|liquidity|closed|active|endDate|createdAt|has_hko_rule_text|has_absolute_daily_max_rule_text|has_daily_extract_rule_text|has_one_decimal_rule_text|has_range_language|has_upper_tail_label|has_contradiction|dedicated_boundary_metadata_certifies|rule_text_certifies_family|tail_boundary_certified_by_label|final_certification_status|certification_reason|hit_hong_kong_observatory|hit_absolute_daily_max|hit_daily_extract|hit_one_decimal_precision|hit_range_language|hit_later_revision_exclusion|contradiction_wunderground|contradiction_airport|contradiction_non_hko_station|contradiction_whole_degree_only|event_date,
data/processed/18f_hko_polymarket_floor_validation_panel_20260313_20260531.csv,821,event_date,75,rule_text,75,,,75,75,0,event_date|event_slug|event_title|event_id|event_url|market_id|market_slug|market_question|market_title|outcome_label_text|threshold_K|looks_upper_tail|looks_lower_tail|yes_token_id|clobTokenIds|outcomes|outcomePrices|resolvedOutcome|closed|active|volume|liquidity|createdAt|endDate|rule_text|event_description|event_resolutionSource|gamma_fetch_status|hko_tmax_C|hko_floor_bin_K|hko_source_label|hko_source_url|hko_parse_route|hko_outcome_available|Y_ge_K|Y_floor_bin_K|has_hko_rule_text|has_absolute_daily_max_rule_text|has_daily_extract_rule_text|has_one_decimal_rule_text|has_later_revision_exclusion|is_hko_highest_temp_family|empirical_role,
data/processed/18f_hko_upper_tail_threshold_contracts_20260313_20260531.csv,75,event_date,75,rule_text,75,,,75,75,0,event_date|event_slug|event_title|event_id|event_url|market_id|market_slug|market_question|market_title|outcome_label_text|threshold_K|looks_upper_tail|looks_lower_tail|yes_token_id|clobTokenIds|outcomes|outcomePrices|resolvedOutcome|closed|active|volume|liquidity|createdAt|endDate|rule_text|event_description|event_resolutionSource|gamma_fetch_status|hko_tmax_C|hko_floor_bin_K|hko_source_label|hko_source_url|hko_parse_route|hko_outcome_available|Y_ge_K|Y_floor_bin_K|has_hko_rule_text|has_absolute_daily_max_rule_text|has_daily_extract_rule_text|has_one_decimal_rule_text|has_later_revision_exclusion|is_hko_highest_temp_family|empirical_role,
data/processed/18i_hko_monthly_contract_summary.csv,3,,,,,,,,,,month|upper_tail_contracts|formally_certified_contracts|mean_threshold_K|hko_outcome_rate|formally_certified_scoring_rows|scoring_unique_contracts|mean_brier|mean_log_score,
data/processed/18k_full_hko_contract_event_target_panel.csv,803,event_date,73,,,,,,73,0,record_source|original_event_date|event_date|contract_date|event_slug|market_slug|market_question|group_item_title|visible_contract_label|settlement_family|settlement_family_reason|contract_event_type_v2|event_set_v2|event_condition_v2|label_temperature_C|event_lower_bound_C|event_upper_bound_C|selected_yes_token_id|token_id_valid_v2|admissible_hko_event_contract_v2|hko_tmax_C|Y_event_v2|old_contract_event_type|old_event_set|group_item_threshold|group_item_threshold_is_ordinal_not_celsius|date_was_corrected|event_set_was_corrected|v2_validation_issues|evidence_text|market_id|market_title|lower_bound|upper_bound|hko_evidence_score|wunderground_airport_evidence_score|contract_event_type|event_set|parsed_threshold_or_bin|event_lower_bound|event_upper_bound|token_id_valid|admissible_hko_event_contract|Y_ge_K|event_parsing_reason_v2|old_parsed_threshold_or_bin|old_event_lower_bound|old_event_upper_bound|is_hko_daily_extract_family_v2|is_supported_contract_event_type_v2|hko_tmax_C_hko|hko_tmax_min_C|hko_tmax_max_C|n_source_rows|hko_source_files|hko_value_conflict|hko_tmax_C_original_18j|Y_event|realised_event_condition|Y_event_int|target_panel_ready,
data/processed/18k_hko_contract_event_date_resolution_summary.csv,73,event_date,73,,,,,,73,0,event_date|n_contracts|hko_tmax_C|yes_count|exactly_one_yes|target_rows_ready|n_lower_tail_endpoint|n_interior_bin|n_upper_tail|has_lower_endpoint|has_upper_endpoint|n_intervals|partition_has_gap|partition_has_overlap|partition_gap_detail|partition_overlap_detail|date_book_valid,
data/processed/18k_hko_contract_event_integrity_checks.csv,9,,,,,,,,,,check|passed|detail,
data/processed/18k_hko_contract_event_target_issues.csv,0,event_date,0,,,,,,,,record_source|original_event_date|event_date|contract_date|event_slug|market_slug|market_question|group_item_title|visible_contract_label|settlement_family|settlement_family_reason|contract_event_type_v2|event_set_v2|event_condition_v2|label_temperature_C|event_lower_bound_C|event_upper_bound_C|selected_yes_token_id|token_id_valid_v2|admissible_hko_event_contract_v2|hko_tmax_C|Y_event_v2|old_contract_event_type|old_event_set|group_item_threshold|group_item_threshold_is_ordinal_not_celsius|date_was_corrected|event_set_was_corrected|v2_validation_issues|evidence_text|market_id|market_title|lower_bound|upper_bound|hko_evidence_score|wunderground_airport_evidence_score|contract_event_type|event_set|parsed_threshold_or_bin|event_lower_bound|event_upper_bound|token_id_valid|admissible_hko_event_contract|Y_ge_K|event_parsing_reason_v2|old_parsed_threshold_or_bin|old_event_lower_bound|old_event_upper_bound|is_hko_daily_extract_family_v2|is_supported_contract_event_type_v2|hko_tmax_C_hko|hko_tmax_min_C|hko_tmax_max_C|n_source_rows|hko_source_files|hko_value_conflict|hko_tmax_C_original_18j|Y_event|realised_event_condition|Y_event_int|target_panel_ready,
data/processed/18k_hko_contract_event_type_target_summary.csv,3,unique_dates,1,,,,,,1,0,contract_event_type_v2|rows|ready_rows|yes_rows|outcome_rate|unique_dates,
