model,decision_rule,folds,signal_variance_mean,signal_variance_standard_deviation,signal_variance_minimum,signal_variance_maximum,signal_variance_coefficient_of_variation,signal_variance_max_to_min_ratio,length_scale_mean,length_scale_standard_deviation,length_scale_minimum,length_scale_maximum,length_scale_coefficient_of_variation,length_scale_max_to_min_ratio,noise_level_mean,noise_level_standard_deviation,noise_level_minimum,noise_level_maximum,noise_level_coefficient_of_variation,noise_level_max_to_min_ratio,full_fit_signal_variance,full_fit_signal_variance_within_fold_range,full_fit_length_scale,full_fit_length_scale_within_fold_range,full_fit_noise_level,full_fit_noise_level_within_fold_range
matern32,12h_prior,4,0.42216699999999996,0.08870723451895002,0.32604099999999997,0.508369,0.21012356370571367,1.559218012458556,0.84,0.10763208939097423,0.741,0.952,0.1281334397511598,1.2847503373819162,0.70725,0.04542668085314327,0.656,0.766,0.06423001888037223,1.1676829268292683,0.49420899999999995,True,0.983,False,0.644,False
matern32,24h_prior,4,0.43585550000000006,0.024447361909484926,0.408321,0.46785600000000005,0.056090520618610806,1.1458044038881177,0.30625,0.12646837549363873,0.177,0.457,0.412957960795555,2.5819209039548023,0.58775,0.03399387199677807,0.549,0.624,0.05783729816550927,1.1366120218579234,0.42250000000000004,True,0.477,False,0.612,True
matern32,6h_prior,4,0.4218325,0.10037457428552309,0.31584400000000007,0.534361,0.23794888797217637,1.6918510403870262,0.853,0.13713010853443772,0.724,0.992,0.16076214365115793,1.3701657458563536,0.7122499999999999,0.04203470788130526,0.67,0.77,0.05901678888214148,1.1492537313432836,0.49420899999999995,True,1.02,False,0.656,False
matern32,event_day_open,4,0.41409975000000004,0.0692565621890807,0.32604099999999997,0.47472099999999995,0.16724608548805137,1.4560162678926882,0.87675,0.11758224072253998,0.743,1.01,0.1341114807214599,1.3593539703903095,0.6900000000000001,0.04122297094258651,0.653,0.748,0.0597434361486761,1.1454823889739663,0.4760999999999999,False,0.969,True,0.632,False
rbf,12h_prior,4,0.3434215,0.05626914823417891,0.27457600000000004,0.390625,0.1638486473158463,1.4226480100227257,0.6072500000000001,0.04407852840858762,0.55,0.653,0.0725871196518528,1.1872727272727273,0.72575,0.0429059047995339,0.678,0.781,0.059119400343829,1.1519174041297935,,,,,,
rbf,24h_prior,4,0.3818245,0.060934196728930544,0.3271839999999999,0.4664890000000001,0.15958692207789324,1.4257695975353324,0.28325,0.10607976558546248,0.128,0.366,0.3745093224552956,2.859375,0.63475,0.06440173393110883,0.543,0.686,0.10145999831604384,1.263351749539595,,,,,,
rbf,6h_prior,4,0.33680849999999996,0.06138455410769064,0.264196,0.400689,0.1822535776492893,1.5166353767657346,0.60275,0.057081082680692036,0.53,0.654,0.09470109113345837,1.2339622641509433,0.7307499999999999,0.04009467961380084,0.69,0.785,0.05486784757276886,1.13768115942029,,,,,,
rbf,event_day_open,4,0.33027224999999993,0.042597667356910486,0.27040000000000003,0.36360899999999996,0.12897743409236015,1.344707840236686,0.5922499999999999,0.037482218006231506,0.543,0.634,0.06328783116290673,1.167587476979742,0.70675,0.04145177921392519,0.67,0.766,0.05865126171054148,1.1432835820895522,,,,,,
