method,first_rule,second_rule,correlation,dates
pearson,24h_prior,24h_prior,1.0,730
pearson,24h_prior,12h_prior,0.8905073420754259,730
pearson,24h_prior,6h_prior,0.8867594967130675,730
pearson,24h_prior,event_day_open,0.8271726249935272,730
pearson,12h_prior,24h_prior,0.8905073420754259,730
pearson,12h_prior,12h_prior,1.0,730
pearson,12h_prior,6h_prior,0.9917355217531981,730
pearson,12h_prior,event_day_open,0.8803976915421964,730
pearson,6h_prior,24h_prior,0.8867594967130675,730
pearson,6h_prior,12h_prior,0.9917355217531981,730
pearson,6h_prior,6h_prior,1.0,730
pearson,6h_prior,event_day_open,0.8874605217709315,730
pearson,event_day_open,24h_prior,0.8271726249935272,730
pearson,event_day_open,12h_prior,0.8803976915421964,730
pearson,event_day_open,6h_prior,0.8874605217709315,730
pearson,event_day_open,event_day_open,1.0,730
spearman,24h_prior,24h_prior,1.0,730
spearman,24h_prior,12h_prior,0.8963759608516235,730
spearman,24h_prior,6h_prior,0.8924565055432218,730
spearman,24h_prior,event_day_open,0.8396424370982822,730
spearman,12h_prior,24h_prior,0.8963759608516235,730
spearman,12h_prior,12h_prior,1.0,730
spearman,12h_prior,6h_prior,0.989663798706699,730
spearman,12h_prior,event_day_open,0.8818332608878605,730
spearman,6h_prior,24h_prior,0.8924565055432218,730
spearman,6h_prior,12h_prior,0.989663798706699,730
spearman,6h_prior,6h_prior,1.0,730
spearman,6h_prior,event_day_open,0.8908007952085611,730
spearman,event_day_open,24h_prior,0.8396424370982822,730
spearman,event_day_open,12h_prior,0.8818332608878605,730
spearman,event_day_open,6h_prior,0.8908007952085611,730
spearman,event_day_open,event_day_open,1.0,730
