sample_period,model,dates,books,binary_brier,binary_log,categorical_log,multiclass_brier,selected_using,score_aggregation
weather_plus_market_development,gp,67,236,0.0659688868963457,0.21240951180442538,1.5015222935543944,0.7256577558598027,not estimated,"book score averaged within target date, then target dates equally weighted"
weather_plus_market_development,market_normalised,67,236,0.06712373182206949,0.2150588789125089,1.519731289280677,0.7383610500427642,not estimated,"book score averaged within target date, then target dates equally weighted"
weather_plus_market_development,equal_50_50_pool,67,236,0.06464453648287383,0.20709517379529843,1.45167885278908,0.7110899013116121,not estimated,"book score averaged within target date, then target dates equally weighted"
weather_plus_market_development,development_selected_pool,67,236,0.06465816023512896,0.20710308444340092,1.4516542616263037,0.7112397625864184,minimum development-period date-balanced categorical log score,"book score averaged within target date, then target dates equally weighted"
june_out_of_sample,gp,30,114,0.06819820102326088,0.22502944634300753,1.6182649763954429,0.7501802112558695,not estimated,"book score averaged within target date, then target dates equally weighted"
june_out_of_sample,market_normalised,30,114,0.05895187450244965,0.1863947826457751,1.260922770826707,0.6484706195269462,not estimated,"book score averaged within target date, then target dates equally weighted"
june_out_of_sample,equal_50_50_pool,30,114,0.06199132777271326,0.20067915697828978,1.3943328666330668,0.6819046054998459,not estimated,"book score averaged within target date, then target dates equally weighted"
june_out_of_sample,development_selected_pool,30,114,0.06189038469661956,0.20027270750386697,1.3906097198794911,0.6807942316628152,minimum development-period date-balanced categorical log score,"book score averaged within target date, then target dates equally weighted"
june_out_of_sample,june_oracle_pool_post_hoc,30,114,0.05895187450244965,0.1863947826457751,1.260922770826707,0.6484706195269462,minimum June date-balanced categorical log score; diagnostic only,"book score averaged within target date, then target dates equally weighted"
