software_mean,manual_mean,mean_abs_difference,software_variance,manual_full_variance,variance_abs_difference,manual_latent_variance,white_noise_variance_scaled,full_minus_latent,noise_identity_abs_difference,normalised_white_noise_level,response_scale,decision_rule,model_path,test_point_source,alpha,status
1.6281399268143797,1.6281399268143797,0.0,1.6119528943644152,1.6119528943644152,0.0,0.2067250269221182,1.4052278674422969,1.405227867442297,2.220446049250313e-16,0.644,1.4771698785399323,12h_prior,models/v2/phase8_clean_gp/12h_prior_matern32_full_fit.joblib,"first transformed training input, evaluated as a prediction point",1e-10,PASSED
1.150826592139699,1.150826592139699,0.0,1.8353068509828954,1.8353068509828954,0.0,0.36870169038991357,1.4666051605929817,1.4666051605929817,0.0,0.612,1.5480354198466013,24h_prior,models/v2/phase8_clean_gp/24h_prior_matern32_full_fit.joblib,"first transformed training input, evaluated as a prediction point",1e-10,PASSED
1.6366000928905584,1.6366000928905584,0.0,1.6214376020230463,1.6214376020230465,2.220446049250313e-16,0.20240379755691723,1.4190338044661293,1.4190338044661293,0.0,0.656,1.4707689442247305,6h_prior,models/v2/phase8_clean_gp/6h_prior_matern32_full_fit.joblib,"first transformed training input, evaluated as a prediction point",1e-10,PASSED
1.444087098834853,1.444087098834853,0.0,1.4036674697266482,1.4036674697266482,0.0,0.1795657874598064,1.224101682266842,1.2241016822668418,2.220446049250313e-16,0.632,1.3917146799621747,event_day_open,models/v2/phase8_clean_gp/event_day_open_matern32_full_fit.joblib,"first transformed training input, evaluated as a prediction point",1e-10,PASSED
