model,fold_id,fold_number,decision_rule,observations,dates,decision_rules,mean_crps_c,median_crps_c,standard_deviation_crps_c,q25_crps_c,q75_crps_c,mean_absolute_temperature_error_c,aggregation
matern32,fold_01,1,12h_prior,91,91,1,0.9752476166934834,0.7110025035162988,0.779829167153516,0.4251029111252864,1.1969260118974494,1.375925226978022,equal target-date weight within each decision rule
matern32,fold_01,1,24h_prior,91,91,1,0.9947006561861684,0.7764325843514688,0.7990986977491096,0.4356470806894422,1.1297791383946414,1.4121235215505494,equal target-date weight within each decision rule
matern32,fold_01,1,6h_prior,91,91,1,0.9655023904548293,0.6882939661579104,0.7895174481227497,0.4223847424598387,1.1796817713863763,1.3574160850868129,equal target-date weight within each decision rule
matern32,fold_01,1,event_day_open,91,91,1,0.91442726337771,0.6863773085304792,0.6389911358715767,0.4304311343172941,1.2000708998372083,1.3064710677637363,equal target-date weight within each decision rule
matern32,fold_02,2,12h_prior,91,91,1,0.8784590895868585,0.646822278457373,0.574391955554726,0.4034445302559172,1.2342773403745235,1.2551926266450548,equal target-date weight within each decision rule
matern32,fold_02,2,24h_prior,91,91,1,0.9788913292086416,0.7464142301007844,0.6064407611786627,0.48105779198524623,1.3219222829454755,1.4246416582681316,equal target-date weight within each decision rule
matern32,fold_02,2,6h_prior,91,91,1,0.8759822320367844,0.6426707665391307,0.563839456645794,0.42781195232560804,1.1885551063645141,1.2652009804032966,equal target-date weight within each decision rule
matern32,fold_02,2,event_day_open,91,91,1,0.8029248413720063,0.6326858324220356,0.5201419163062693,0.4128082572736048,1.077132405526514,1.174968056703297,equal target-date weight within each decision rule
matern32,fold_03,3,12h_prior,91,91,1,0.8680744912104236,0.6017222347472763,0.6197564943342512,0.42482897752068016,1.0184591088756612,1.2288385865780223,equal target-date weight within each decision rule
matern32,fold_03,3,24h_prior,91,91,1,0.8855325133975656,0.685285466443425,0.6139795455872356,0.43117798341428193,1.045315698682657,1.2661194514230771,equal target-date weight within each decision rule
matern32,fold_03,3,6h_prior,91,91,1,0.8917751999389799,0.6381853517394767,0.6441070290736113,0.4228743777392675,1.0873516111486339,1.2591503111681317,equal target-date weight within each decision rule
matern32,fold_03,3,event_day_open,91,91,1,0.7644891073083377,0.5555233194853336,0.4760908852124554,0.3783369302687571,1.053201011742841,1.097487803583517,equal target-date weight within each decision rule
matern32,fold_04,4,12h_prior,92,92,1,0.7726382930524598,0.5706836803225023,0.5198027106764342,0.40328382393958495,0.9704080082362736,1.098533817580435,equal target-date weight within each decision rule
matern32,fold_04,4,24h_prior,92,92,1,0.8324033460722038,0.6387719916207195,0.564799639557079,0.42136431907928956,1.0251110569908235,1.1843722085076087,equal target-date weight within each decision rule
matern32,fold_04,4,6h_prior,92,92,1,0.7562238179713328,0.5543941117334277,0.5278838539537225,0.40196548792128844,0.9344286259681589,1.0701941967315218,equal target-date weight within each decision rule
matern32,fold_04,4,event_day_open,92,92,1,0.6609061296271997,0.46367476904662064,0.43388000488789913,0.36711241696725605,0.8016210807393437,0.9199959412576088,equal target-date weight within each decision rule
raw_point,fold_01,1,12h_prior,91,91,1,1.9417582417582417,2.0,1.1761581464020834,0.9500000000000011,2.6500000000000004,1.9417582417582417,equal target-date weight within each decision rule
raw_point,fold_01,1,24h_prior,91,91,1,1.9384615384615385,1.8000000000000007,1.3580025552888109,0.8999999999999986,2.8000000000000007,1.9384615384615385,equal target-date weight within each decision rule
raw_point,fold_01,1,6h_prior,91,91,1,1.967032967032967,2.0,1.1543208628698758,1.049999999999999,2.6500000000000004,1.967032967032967,equal target-date weight within each decision rule
raw_point,fold_01,1,event_day_open,91,91,1,1.8340659340659338,1.6000000000000014,1.108875284062367,0.9499999999999993,2.6499999999999986,1.8340659340659338,equal target-date weight within each decision rule
raw_point,fold_02,2,12h_prior,91,91,1,2.453846153846154,2.5,1.1862459640308527,1.5999999999999979,3.3500000000000014,2.453846153846154,equal target-date weight within each decision rule
raw_point,fold_02,2,24h_prior,91,91,1,2.5120879120879125,2.599999999999998,1.2533364507793818,1.5500000000000007,3.5,2.5120879120879125,equal target-date weight within each decision rule
raw_point,fold_02,2,6h_prior,91,91,1,2.486813186813187,2.5,1.1545281663672333,1.6500000000000021,3.3500000000000014,2.486813186813187,equal target-date weight within each decision rule
raw_point,fold_02,2,event_day_open,91,91,1,2.391208791208791,2.599999999999998,1.1236496440565993,1.5500000000000007,3.3000000000000007,2.391208791208791,equal target-date weight within each decision rule
raw_point,fold_03,3,12h_prior,91,91,1,1.5296703296703296,1.3999999999999986,1.190564245827676,0.5499999999999989,2.299999999999999,1.5296703296703296,equal target-date weight within each decision rule
raw_point,fold_03,3,24h_prior,91,91,1,1.5604395604395604,1.3000000000000045,1.0999877899200237,0.7499999999999982,2.4499999999999975,1.5604395604395604,equal target-date weight within each decision rule
raw_point,fold_03,3,6h_prior,91,91,1,1.489010989010989,1.3000000000000007,1.1774219058274504,0.40000000000000036,2.299999999999997,1.489010989010989,equal target-date weight within each decision rule
raw_point,fold_03,3,event_day_open,91,91,1,1.4120879120879117,1.2000000000000028,1.1181169850179324,0.4000000000000021,2.049999999999999,1.4120879120879117,equal target-date weight within each decision rule
raw_point,fold_04,4,12h_prior,92,92,1,1.0956521739130436,0.8000000000000007,0.951333713126727,0.4000000000000021,1.3999999999999986,1.0956521739130436,equal target-date weight within each decision rule
raw_point,fold_04,4,24h_prior,92,92,1,1.2195652173913043,0.8999999999999986,1.0505089431585035,0.5,1.4500000000000017,1.2195652173913043,equal target-date weight within each decision rule
raw_point,fold_04,4,6h_prior,92,92,1,1.1043478260869566,0.8000000000000007,0.9725815927780078,0.4000000000000021,1.424999999999999,1.1043478260869566,equal target-date weight within each decision rule
raw_point,fold_04,4,event_day_open,92,92,1,1.0228260869565218,0.7999999999999989,0.9135251442637482,0.4000000000000012,1.3999999999999986,1.0228260869565218,equal target-date weight within each decision rule
rbf,fold_01,1,12h_prior,91,91,1,0.9685012741044873,0.6643325952174912,0.7985176843801809,0.41451456938700887,1.2485019939529192,1.3564910061219781,equal target-date weight within each decision rule
rbf,fold_01,1,24h_prior,91,91,1,0.9998016799505957,0.7762085441316031,0.8052721368052345,0.43690035328711785,1.1291694697281125,1.4164428024571432,equal target-date weight within each decision rule
rbf,fold_01,1,6h_prior,91,91,1,0.9587891162815383,0.6478569758689223,0.8090396983094362,0.4020153882131393,1.179945216528527,1.3390297745604396,equal target-date weight within each decision rule
rbf,fold_01,1,event_day_open,91,91,1,0.89484564028204,0.6534049944740427,0.6509623522361239,0.4148628089026035,1.141423517602603,1.267347542776923,equal target-date weight within each decision rule
rbf,fold_02,2,12h_prior,91,91,1,0.8935369423584438,0.6336345940893452,0.5879366271142346,0.39822385376131697,1.25689875366954,1.2754716617670327,equal target-date weight within each decision rule
rbf,fold_02,2,24h_prior,91,91,1,0.9896561095118427,0.8011464072235659,0.6108811438274263,0.49892873872792276,1.3283330921235654,1.4423058690307693,equal target-date weight within each decision rule
rbf,fold_02,2,6h_prior,91,91,1,0.8923351700253922,0.660710794721139,0.5738707608114112,0.44355402718283327,1.2292128942094314,1.2883535256,equal target-date weight within each decision rule
rbf,fold_02,2,event_day_open,91,91,1,0.8211810850453615,0.6521302221260278,0.532510069403727,0.4148470392853088,1.147396349319496,1.1992178193406589,equal target-date weight within each decision rule
rbf,fold_03,3,12h_prior,91,91,1,0.8566423303420919,0.5587531991928437,0.6068558175161971,0.4172800880682259,1.0121521806902747,1.2131131099604398,equal target-date weight within each decision rule
rbf,fold_03,3,24h_prior,91,91,1,0.8924858149796674,0.7208422065339755,0.607959446336736,0.42875203655793903,1.0525825519404581,1.2823913272670326,equal target-date weight within each decision rule
rbf,fold_03,3,6h_prior,91,91,1,0.8792064728067112,0.6012368566359286,0.6316995668100356,0.4104239337046821,1.0761145750287744,1.2429350876087912,equal target-date weight within each decision rule
rbf,fold_03,3,event_day_open,91,91,1,0.7573567273856242,0.5535985522439708,0.47107556662124395,0.3796726939182799,1.044179099779011,1.0808910627945054,equal target-date weight within each decision rule
rbf,fold_04,4,12h_prior,92,92,1,0.8279927796402029,0.6202880488699719,0.55934951730159,0.4161926113412937,1.0417584415272527,1.1998394599119566,equal target-date weight within each decision rule
rbf,fold_04,4,24h_prior,92,92,1,0.8558243709684442,0.6365944858962023,0.5753708173986883,0.42539374484051923,1.0600485176534784,1.224626441398913,equal target-date weight within each decision rule
rbf,fold_04,4,6h_prior,92,92,1,0.8134478411863032,0.607144908632631,0.5689073587468718,0.4177602577039098,1.0133710724778024,1.1728297716347824,equal target-date weight within each decision rule
rbf,fold_04,4,event_day_open,92,92,1,0.7423540612808808,0.5554893168878756,0.48429991598739974,0.39750273040909795,0.9262273752441117,1.063724199778261,equal target-date weight within each decision rule
static_gaussian,fold_01,1,12h_prior,91,91,1,0.9379412626140287,0.6449496887627856,0.7631517794404171,0.4144778975461807,1.152999689120052,1.311952431130513,equal target-date weight within each decision rule
static_gaussian,fold_01,1,24h_prior,91,91,1,0.9740558729669208,0.7764592239769245,0.7796295696574119,0.43550816236464485,1.129919582388305,1.3865000752671983,equal target-date weight within each decision rule
static_gaussian,fold_01,1,6h_prior,91,91,1,0.9299595519473662,0.6425851624258688,0.7755145929456951,0.4038704032691373,1.1529040117003961,1.2937076622008126,equal target-date weight within each decision rule
static_gaussian,fold_01,1,event_day_open,91,91,1,0.8687209443599165,0.6524711607144144,0.6460230568382591,0.3843617063441503,1.0733766845020003,1.2181393948517234,equal target-date weight within each decision rule
static_gaussian,fold_02,2,12h_prior,91,91,1,0.9433753685437022,0.6882849635023064,0.610066495633752,0.4314020361843342,1.3080078894113876,1.3514627915943707,equal target-date weight within each decision rule
static_gaussian,fold_02,2,24h_prior,91,91,1,0.9996448056579814,0.8028404390223467,0.6174540403327634,0.4981873009666088,1.361916349548053,1.4548823983034505,equal target-date weight within each decision rule
static_gaussian,fold_02,2,6h_prior,91,91,1,0.9419915373975422,0.6849417974616712,0.5924454504795068,0.4474282809017237,1.2604359387297275,1.3625481974166176,equal target-date weight within each decision rule
static_gaussian,fold_02,2,event_day_open,91,91,1,0.8962113832024465,0.7629819638895398,0.5533758148190033,0.4239526257830853,1.2102390313983138,1.3070777906304223,equal target-date weight within each decision rule
static_gaussian,fold_03,3,12h_prior,91,91,1,0.9193101818137589,0.7147552167205455,0.6354879968896184,0.4697887242945962,1.132340709131474,1.318440243485947,equal target-date weight within each decision rule
static_gaussian,fold_03,3,24h_prior,91,91,1,0.9422999904152927,0.7675284468734502,0.6106200276880734,0.4511817096706312,1.2329139661170039,1.3651324909094564,equal target-date weight within each decision rule
static_gaussian,fold_03,3,6h_prior,91,91,1,0.9172662191187106,0.7685806457388347,0.632799249248646,0.4660499625038131,1.132843551570863,1.3182976073286854,equal target-date weight within each decision rule
static_gaussian,fold_03,3,event_day_open,91,91,1,0.7968568270634326,0.6981481805027308,0.4738098873416816,0.3654768572131051,1.124323984345258,1.1470799766960647,equal target-date weight within each decision rule
static_gaussian,fold_04,4,12h_prior,92,92,1,0.9112239492239934,0.6776189794694435,0.5958419919014023,0.4874104186694459,1.1567832576697696,1.3383399209486173,equal target-date weight within each decision rule
static_gaussian,fold_04,4,24h_prior,92,92,1,0.8995051041263471,0.6614219636539374,0.586401297601966,0.465003600924894,1.1614105834449002,1.303516423606379,equal target-date weight within each decision rule
static_gaussian,fold_04,4,6h_prior,92,92,1,0.8891724188540602,0.6801001362230916,0.5920393646518184,0.488747893665851,1.1609806499383972,1.2928649311707787,equal target-date weight within each decision rule
static_gaussian,fold_04,4,event_day_open,92,92,1,0.8219132458863772,0.6551893937332727,0.518442047016705,0.4021182946532414,1.0147090461017212,1.1834366907455363,equal target-date weight within each decision rule
