model,scope,scope_value,rows,dates,mean,standard_deviation,rmse,median,mean_absolute_value,skewness,excess_kurtosis,proportion_absolute_above_1,proportion_absolute_above_1_645,proportion_absolute_above_1_96,proportion_absolute_above_2_576,aggregation
rbf,overall,all,1460,365,-0.07449411743041198,1.0305268132813563,1.031806831278595,-0.1088488729248655,0.8426871166647696,-0.010005488252405824,-0.13838070502667899,0.36164383561643837,0.11232876712328767,0.038356164383561646,0.010958904109589041,date-mean standardised residual after averaging rules
rbf,decision_rule,24h_prior,365,365,-0.013603099443872134,1.0896436583754723,1.088234995760698,-0.028825131081813567,0.88894747767095,0.06554721501387366,-0.05136485915828093,0.38082191780821917,0.136986301369863,0.0547945205479452,0.0136986301369863,rule-specific standardised residual
rbf,decision_rule,12h_prior,365,365,-0.10999715274649605,1.0876027935033479,1.091667734877904,-0.08736160232952381,0.8792041178392233,-0.06328151582690285,-0.0489249331296846,0.3698630136986301,0.136986301369863,0.06301369863013699,0.019178082191780823,rule-specific standardised residual
rbf,decision_rule,6h_prior,365,365,-0.10051199831994895,1.0901533250663429,1.093289051281592,-0.07449305580303255,0.8796496139483847,-0.1185471963390301,-0.008427142668137932,0.3561643835616438,0.14520547945205478,0.06027397260273973,0.019178082191780823,rule-specific standardised residual
rbf,decision_rule,event_day_open,365,365,-0.0738642192113306,1.0284474800412384,1.0296904011906851,-0.10412597786283113,0.8411467010925618,-0.020544137396388697,-0.34549456476216145,0.3424657534246575,0.10410958904109589,0.04657534246575343,0.010958904109589041,rule-specific standardised residual
rbf,validation_block,fold_01,364,91,0.10746717371033389,1.1763094143919268,1.1747542275415708,0.3037376916284974,0.9392345880511734,-0.41920543473799293,0.500203512236574,0.42857142857142855,0.13186813186813187,0.07692307692307693,0.04395604395604396,date-mean standardised residual after averaging rules
rbf,validation_block,fold_02,364,91,0.5332611633594131,0.905927086195231,1.0469253219944146,0.6113006394525219,0.868202741415109,-0.5171422130246174,0.1173023978641834,0.3956043956043956,0.14285714285714285,0.02197802197802198,0.0,date-mean standardised residual after averaging rules
rbf,validation_block,fold_03,364,91,-0.4831386515733123,0.8469923378324968,0.9710486621379855,-0.5018684038313694,0.8052436008832485,-0.0514601013539291,-0.8348208591243522,0.31868131868131866,0.0989010989010989,0.03296703296703297,0.0,date-mean standardised residual after averaging rules
rbf,validation_block,fold_04,368,92,-0.45142406785082523,0.8032072138545139,0.9175582304381491,-0.4863017513789146,0.7589873143568874,0.5579614114797065,0.9641171404771809,0.30434782608695654,0.07608695652173914,0.021739130434782608,0.0,date-mean standardised residual after averaging rules
rbf,rule_by_validation_block,12h_prior|fold_01,91,91,0.06379409645453557,1.2520795511917802,1.2468140926117017,0.31906998258345054,0.9844912064454018,-0.5040751355032282,0.507103188911787,0.42857142857142855,0.16483516483516483,0.0989010989010989,0.054945054945054944,rule-specific standardised residual
rbf,rule_by_validation_block,24h_prior|fold_01,91,91,0.13852315821226976,1.2216568980056948,1.222797506116996,0.22995872868105183,0.9786873967932094,0.05921968859533629,0.64350492579258,0.45054945054945056,0.15384615384615385,0.07692307692307693,0.03296703296703297,rule-specific standardised residual
rbf,rule_by_validation_block,6h_prior|fold_01,91,91,0.07822563655238057,1.2385340531229054,1.2341916687154852,0.3007225822370573,0.9655542261913658,-0.5750157375648524,0.7264543776411001,0.4175824175824176,0.15384615384615385,0.08791208791208792,0.054945054945054944,rule-specific standardised residual
rbf,rule_by_validation_block,event_day_open|fold_01,91,91,0.1493258036221496,1.1683811544801586,1.1714996625209437,0.36190837577726237,0.9494105960493998,-0.6007652927511427,0.10436280435857803,0.4065934065934066,0.15384615384615385,0.08791208791208792,0.03296703296703297,rule-specific standardised residual
rbf,rule_by_validation_block,12h_prior|fold_02,91,91,0.51349707502107,0.9582748087158159,1.0825334865402128,0.5270176458424101,0.8893631750318763,-0.41871839884355916,-0.052042591195244015,0.3626373626373626,0.16483516483516483,0.054945054945054944,0.0,rule-specific standardised residual
rbf,rule_by_validation_block,24h_prior|fold_02,91,91,0.6328207387299004,0.9357023188113247,1.1253353326798403,0.7621335821059464,0.955738704746288,-0.47572769006184074,-0.20649034089426443,0.43956043956043955,0.17582417582417584,0.06593406593406594,0.0,rule-specific standardised residual
rbf,rule_by_validation_block,6h_prior|fold_02,91,91,0.543445186780775,0.9396187719863358,1.0809783031665015,0.6988455329300346,0.9007769600467731,-0.532154267877474,0.16876005264224014,0.3516483516483517,0.16483516483516483,0.04395604395604396,0.0,rule-specific standardised residual
rbf,rule_by_validation_block,event_day_open|fold_02,91,91,0.4432816529059069,0.9449429653484444,1.0390397271308427,0.5504883628365526,0.8710286065489546,-0.5618007127130238,0.41813457209622085,0.34065934065934067,0.08791208791208792,0.03296703296703297,0.01098901098901099,rule-specific standardised residual
rbf,rule_by_validation_block,12h_prior|fold_03,91,91,-0.5253822525977491,0.8996252329224638,1.037525124315615,-0.5459874040235774,0.8342754453290011,-0.04864171554735964,-0.40359578418093767,0.3516483516483517,0.14285714285714285,0.07692307692307693,0.01098901098901099,rule-specific standardised residual
