model,response,rows,date_clusters,parameters,r_squared,joint_non_intercept_wald_statistic,joint_non_intercept_degrees_freedom,joint_non_intercept_cluster_robust_p_value,inference
rbf,squared_standardised_residual,1460,365,11,0.021157323865339417,14.047808878704483,10,0.17082204609337734,date-cluster-robust asymptotic normal and chi-square reference
matern32,squared_standardised_residual,1460,365,11,0.02709583620064049,23.206174312041036,10,0.010010611658299971,date-cluster-robust asymptotic normal and chi-square reference
