scope,scope_value,metric,books,dates,mean,bootstrap_lower_95,bootstrap_upper_95,bootstrap_replications,bootstrap_unit
overall,all,total_variation_distance,350,97,0.28694170563699867,0.27096739289626537,0.3028948487073764,10000,target_date
overall,all,jensen_shannon_divergence,350,97,0.07199177064929947,0.0652897281230003,0.07886159627206579,10000,target_date
overall,all,maximum_absolute_probability_gap,350,97,0.18116924931645054,0.17048097881006863,0.1918415006261368,10000,target_date
overall,all,expected_rank_shift_market_minus_gp,350,97,0.43309957191004056,0.32208838896502784,0.5425862504822058,10000,target_date
overall,all,modal_rank_shift_market_minus_gp,350,97,0.3711340206185567,0.2147766323024055,0.5189003436426116,10000,target_date
overall,all,mode_disagreement,350,97,0.5867697594501718,0.5180412371134021,0.6554982817869416,10000,target_date
overall,all,market_upper_mass_shift_relative_to_gp_mode,350,97,0.1259210392249692,0.09227497131005578,0.15958684878210844,10000,target_date
overall,all,market_lower_mass_shift_relative_to_gp_mode,350,97,-0.13001201227940168,-0.16113126607772718,-0.09897369211619879,10000,target_date
overall,all,realised_probability_difference_gp_minus_market,350,97,-0.05015491761516874,-0.07246600529662751,-0.02743852916041632,10000,target_date
sample_period,june_out_of_sample,total_variation_distance,114,30,0.2786130359147641,0.25077327940596156,0.30657643221973496,10000,target_date
sample_period,june_out_of_sample,jensen_shannon_divergence,114,30,0.069371242292076,0.057773774985195224,0.08093252295034664,10000,target_date
sample_period,june_out_of_sample,maximum_absolute_probability_gap,114,30,0.17068517851557857,0.15274515157349472,0.1902024583527384,10000,target_date
sample_period,june_out_of_sample,expected_rank_shift_market_minus_gp,114,30,0.47439199550686495,0.29467915961705327,0.6524060858290956,10000,target_date
sample_period,june_out_of_sample,modal_rank_shift_market_minus_gp,114,30,0.575,0.3416666666666667,0.8166666666666667,10000,target_date
sample_period,june_out_of_sample,mode_disagreement,114,30,0.6166666666666667,0.5166666666666667,0.7166666666666667,10000,target_date
sample_period,june_out_of_sample,market_upper_mass_shift_relative_to_gp_mode,114,30,0.1235917274515615,0.06513912497675302,0.184874528190063,10000,target_date
sample_period,june_out_of_sample,market_lower_mass_shift_relative_to_gp_mode,114,30,-0.1389812409561412,-0.17890946289883772,-0.09930286726039739,10000,target_date
sample_period,june_out_of_sample,realised_probability_difference_gp_minus_market,114,30,-0.09450362266079458,-0.12445020756950971,-0.06376718545963786,10000,target_date
sample_period,weather_plus_market_development,total_variation_distance,236,67,0.2906709607365065,0.2708392542678018,0.3106956186276183,10000,target_date
sample_period,weather_plus_market_development,jensen_shannon_divergence,236,67,0.07316514155551895,0.06488122971392588,0.08175416660348755,10000,target_date
sample_period,weather_plus_market_development,maximum_absolute_probability_gap,236,67,0.18586360937654242,0.17301928326240523,0.19896842178937466,10000,target_date
