replication,selected_gp_weight,selected_market_weight,minimum_bootstrap_categorical_log
1,0.479,0.521,1.4490382662805112
2,0.353,0.647,1.444304173898255
3,0.361,0.639,1.4496733545947909
4,0.294,0.706,1.4151429271457172
5,0.364,0.636,1.489354485741122
6,0.38,0.62,1.4221132655121633
7,0.757,0.243,1.4721577470614098
8,0.495,0.505,1.4156335401368105
9,0.898,0.10199999999999998,1.483122069786569
10,0.706,0.29400000000000004,1.428327376460998
11,0.218,0.782,1.339427841568318
12,0.562,0.43799999999999994,1.4114553424411653
13,0.805,0.19499999999999995,1.5222453411029628
14,0.579,0.42100000000000004,1.4772044142904182
15,0.604,0.396,1.3885142658857546
16,0.45,0.55,1.4148603491254292
17,0.784,0.21599999999999997,1.5835297266319512
18,0.457,0.5429999999999999,1.5307771262258714
19,0.655,0.345,1.4581734691312032
20,0.408,0.5920000000000001,1.4437710134912576
21,0.519,0.481,1.4376062992218086
22,0.21,0.79,1.3868552095103421
23,0.508,0.492,1.4315677025509157
24,0.408,0.5920000000000001,1.3751824888299404
25,0.586,0.41400000000000003,1.4467460692072458
26,0.513,0.487,1.4565506472608971
27,0.605,0.395,1.4112603397489236
28,0.285,0.7150000000000001,1.4283650926343525
29,0.215,0.785,1.3801749140442168
30,0.407,0.593,1.5215527377570726
31,0.623,0.377,1.4302666072897812
32,0.325,0.675,1.3052420867986247
33,0.508,0.492,1.4099814048356185
34,0.417,0.583,1.418964471838227
35,0.392,0.608,1.5029502961068009
36,0.563,0.43700000000000006,1.5497844567343275
37,0.634,0.366,1.4767318923031285
38,0.585,0.41500000000000004,1.4217310508339651
39,0.502,0.498,1.4822438867308658
40,0.397,0.603,1.4265717400336606
41,0.733,0.267,1.4388843748446267
42,0.545,0.45499999999999996,1.424352703858731
43,0.27,0.73,1.4033786319196198
44,0.269,0.731,1.333649329515962
45,0.629,0.371,1.5807880161123822
46,0.567,0.43300000000000005,1.6024646827241644
47,0.442,0.558,1.5360662759220725
48,0.445,0.5549999999999999,1.4410371996852394
49,0.441,0.5589999999999999,1.4340481328799999
50,0.457,0.5429999999999999,1.42646204440973
51,0.661,0.33899999999999997,1.5275143960316555
52,0.164,0.836,1.3600142295616156
53,0.326,0.6739999999999999,1.4100902472977168
54,0.596,0.404,1.4893380972661492
55,0.421,0.579,1.4949541701802662
56,0.175,0.825,1.4795465780611352
57,0.411,0.589,1.4612897200277855
58,0.653,0.347,1.4296848051765374
59,0.708,0.29200000000000004,1.5474401075980462
60,0.6,0.4,1.5041390315913474
61,0.392,0.608,1.5044348091618427
62,0.519,0.481,1.4796942946118743
63,0.165,0.835,1.4144053672240693
64,0.317,0.683,1.3710013407819328
65,0.457,0.5429999999999999,1.4695540474622697
66,0.313,0.687,1.343382598947583
67,0.692,0.30800000000000005,1.4890126673357824
68,0.611,0.389,1.426301112542861
69,0.453,0.5469999999999999,1.4223118895493603
70,0.485,0.515,1.4114524192120148
71,0.407,0.593,1.5229447432775984
72,0.462,0.538,1.3962036528357005
73,0.643,0.357,1.418388491243559
74,0.399,0.601,1.4073360780843005
75,0.466,0.534,1.3621822337844773
76,0.596,0.404,1.4963823598805144
77,0.414,0.5860000000000001,1.410335326941145
78,0.346,0.654,1.3575831542469408
79,0.628,0.372,1.4938408745546945
80,0.546,0.45399999999999996,1.3827411639615594
81,0.328,0.6719999999999999,1.4007641289688457
82,0.084,0.916,1.2758346702172134
83,0.309,0.6910000000000001,1.3448152838877803
84,0.358,0.642,1.4001741527941067
85,0.844,0.15600000000000003,1.4097703127388248
86,0.417,0.583,1.5283043193921715
87,0.624,0.376,1.4523306335922075
88,0.554,0.44599999999999995,1.4256711239031432
89,0.652,0.348,1.5132728387971806
90,0.406,0.594,1.4667906390450818
91,0.4,0.6,1.455052516719449
92,0.367,0.633,1.4605801800400835
93,0.507,0.493,1.4433936370265856
94,0.294,0.706,1.4872094122051673
95,0.306,0.694,1.418161533273576
96,0.673,0.32699999999999996,1.413987907140416
97,0.699,0.30100000000000005,1.48225696360326
98,0.875,0.125,1.4733585403603808
99,0.496,0.504,1.446037803076388
100,0.498,0.502,1.4614087788250378
