source_path,object_name,class_name,kernel_,kernel,optimizer,n_restarts_optimizer,alpha,normalize_y,log_marginal_likelihood_value_,random_state,param::kernel__k2__noise_level,param::kernel__k2__noise_level_bounds,param::n_restarts_optimizer,param::alpha,param::normalize_y,param::optimizer
models/v2/phase8_clean_gp/12h_prior_matern32_full_fit.joblib,root['model'],GaussianProcessRegressor,"0.703**2 * Matern(length_scale=0.983, nu=1.5) + WhiteKernel(noise_level=0.644)","0.703**2 * Matern(length_scale=0.983, nu=1.5) + WhiteKernel(noise_level=0.644)",None,0,1e-10,True,-937.5582609392857,20260728,0.644,'fixed',0,1e-10,True,None
models/v2/phase8_clean_gp/24h_prior_matern32_full_fit.joblib,root['model'],GaussianProcessRegressor,"0.65**2 * Matern(length_scale=0.477, nu=1.5) + WhiteKernel(noise_level=0.612)","0.65**2 * Matern(length_scale=0.477, nu=1.5) + WhiteKernel(noise_level=0.612)",None,0,1e-10,True,-951.8893862454479,20260728,0.612,'fixed',0,1e-10,True,None
models/v2/phase8_clean_gp/6h_prior_matern32_full_fit.joblib,root['model'],GaussianProcessRegressor,"0.703**2 * Matern(length_scale=1.02, nu=1.5) + WhiteKernel(noise_level=0.656)","0.703**2 * Matern(length_scale=1.02, nu=1.5) + WhiteKernel(noise_level=0.656)",None,0,1e-10,True,-942.0972127882558,20260728,0.656,'fixed',0,1e-10,True,None
models/v2/phase8_clean_gp/event_day_open_matern32_full_fit.joblib,root['model'],GaussianProcessRegressor,"0.69**2 * Matern(length_scale=0.969, nu=1.5) + WhiteKernel(noise_level=0.632)","0.69**2 * Matern(length_scale=0.969, nu=1.5) + WhiteKernel(noise_level=0.632)",None,0,1e-10,True,-931.5257221651119,20260728,0.632,'fixed',0,1e-10,True,None
