settlement_date,decision_rule,source_path
2024-04-02,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-02,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-02,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-03,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-03,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-03,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-03,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-04,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-04,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-04,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-04,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-05,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-05,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-05,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-05,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-06,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-06,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-06,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-06,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-07,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-07,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-07,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-07,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-08,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-08,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-08,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-08,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-09,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-09,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-09,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-09,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-10,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-10,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-10,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-10,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-11,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-11,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-11,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-11,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-12,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-12,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-12,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-12,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-13,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-13,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-13,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-13,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-14,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-14,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-14,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-14,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-15,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-15,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-15,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-15,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-16,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-16,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-16,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-16,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-17,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-17,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-17,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-17,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-18,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-18,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-18,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-18,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-19,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-19,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-19,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-19,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-20,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-20,24h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-20,6h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-20,event_day_open,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
2024-04-21,12h_prior,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv
