relative_path,row_count,date_column,rule_column,event_column,event_key_strategy,model_column,probability_column,inferred_model
outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv,3850,target_date,decision_rule,event_label,event_label,,gp_event_probability,matern
outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv,3850,target_date,decision_rule,event_label,event_label,,market_probability_raw,market
outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv,3850,target_date,decision_rule,event_label,event_label,,market_probability_normalised,market
outputs/v2/diagnostics/phase9_gp_event_probabilities/phase9_gp_contract_event_probability_panel.csv,4125,target_date,decision_rule,event_label,event_label,,gp_event_probability,matern
outputs/v2/diagnostics/phase9_gp_event_probabilities/phase9_june_out_of_sample_event_panel.csv,1309,target_date,decision_rule,event_label,event_label,,gp_event_probability,matern
outputs/v2/diagnostics/phase9_gp_event_probabilities/phase9_weather_plus_market_event_panel.csv,2816,target_date,decision_rule,event_label,event_label,,gp_event_probability,matern
outputs/v2_completion/phase20_event_discrepancy_panel.csv,3850,target_date,decision_rule,event_key,event_key,,gp_probability,matern
outputs/v2_completion/phase20_event_discrepancy_panel.csv,3850,target_date,decision_rule,event_key,event_key,,market_source_probability,market
outputs/v2_completion/phase20_event_discrepancy_panel.csv,3850,target_date,decision_rule,event_key,event_key,,market_probability,market
outputs/v2_completion/phase20_exact_common_support_event_panel.csv,3850,target_date,decision_rule,event_key,event_key,,gp_probability,matern
outputs/v2_completion/phase20_exact_common_support_event_panel.csv,3850,target_date,decision_rule,event_key,event_key,,market_source_probability,market
outputs/v2_completion/phase20_exact_common_support_event_panel.csv,3850,target_date,decision_rule,event_key,event_key,,market_probability,market
