settlement_date,decision_rule,event_key,event_key_strategy,source_path
2026-03-18,12h_prior,Will the highest temperature in Hong Kong be 18°C or below on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,12h_prior,Will the highest temperature in Hong Kong be 19°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,12h_prior,Will the highest temperature in Hong Kong be 20°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,12h_prior,Will the highest temperature in Hong Kong be 21°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,12h_prior,Will the highest temperature in Hong Kong be 22°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,12h_prior,Will the highest temperature in Hong Kong be 23°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,12h_prior,Will the highest temperature in Hong Kong be 24°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,12h_prior,Will the highest temperature in Hong Kong be 25°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,12h_prior,Will the highest temperature in Hong Kong be 26°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,12h_prior,Will the highest temperature in Hong Kong be 27°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,12h_prior,Will the highest temperature in Hong Kong be 28°C or higher on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,6h_prior,Will the highest temperature in Hong Kong be 18°C or below on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,6h_prior,Will the highest temperature in Hong Kong be 19°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,6h_prior,Will the highest temperature in Hong Kong be 20°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,6h_prior,Will the highest temperature in Hong Kong be 21°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,6h_prior,Will the highest temperature in Hong Kong be 22°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,6h_prior,Will the highest temperature in Hong Kong be 23°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,6h_prior,Will the highest temperature in Hong Kong be 24°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,6h_prior,Will the highest temperature in Hong Kong be 25°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,6h_prior,Will the highest temperature in Hong Kong be 26°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,6h_prior,Will the highest temperature in Hong Kong be 27°C on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-18,6h_prior,Will the highest temperature in Hong Kong be 28°C or higher on March 18?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-21,12h_prior,Will the highest temperature in Hong Kong be 17°C or below on March 21?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-21,12h_prior,Will the highest temperature in Hong Kong be 18°C on March 21?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-21,12h_prior,Will the highest temperature in Hong Kong be 19°C on March 21?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-21,12h_prior,Will the highest temperature in Hong Kong be 20°C on March 21?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
2026-03-21,12h_prior,Will the highest temperature in Hong Kong be 21°C on March 21?,event_label,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv
