empirical_period,model,dates,active_dates,positions,total_net_pnl,total_entry_capital
external_validation,matern32,61,12,12,2.4509999999999996,0.549
external_validation,raw,61,61,61,0.3970000000000001,7.603
external_validation,rbf,61,14,14,2.2809999999999997,0.719
external_validation,static,61,14,14,2.2809999999999997,0.719
market_development,matern32,90,15,15,2.4715,1.5285
market_development,raw,90,90,90,-8.2065,13.2065
market_development,rbf,90,15,15,2.4909999999999997,1.509
market_development,static,90,14,14,2.006,1.994
