event_date,empirical_period,contracts,complete_contracts,taec_date_eligible
2026-07-07,external_validation,11,11,True
2026-07-08,external_validation,11,11,True
2026-07-09,external_validation,11,11,True
2026-07-10,external_validation,11,11,True
2026-07-11,external_validation,11,11,True
2026-07-12,external_validation,11,11,True
2026-07-13,external_validation,11,11,True
2026-07-14,external_validation,11,11,True
2026-07-15,external_validation,11,11,True
2026-07-16,external_validation,11,11,True
2026-07-17,external_validation,11,11,True
2026-07-18,external_validation,11,11,True
2026-07-19,external_validation,11,11,True
2026-07-20,external_validation,11,11,True
2026-07-21,external_validation,11,11,True
2026-07-22,external_validation,11,11,True
2026-07-23,external_validation,11,11,True
2026-07-24,external_validation,11,11,True
2026-07-25,external_validation,11,11,True
2026-07-26,external_validation,11,11,True
2026-07-27,external_validation,11,11,True
2026-07-28,external_validation,11,11,True
2026-07-29,external_validation,11,11,True
2026-07-30,external_validation,11,11,True
2026-07-31,external_validation,11,11,True
2026-08-01,external_validation,11,11,True
2026-08-02,external_validation,11,11,True
2026-08-03,external_validation,11,11,True
2026-08-04,external_validation,11,11,True
2026-08-05,external_validation,11,11,True
2026-08-06,external_validation,11,11,True
2026-08-07,external_validation,11,11,True
2026-08-08,external_validation,11,11,True
2026-08-09,external_validation,11,11,True
2026-08-10,external_validation,11,11,True
2026-08-11,external_validation,11,11,True
2026-08-12,external_validation,11,11,True
2026-08-13,external_validation,11,11,True
2026-08-14,external_validation,11,11,True
2026-08-15,external_validation,11,11,True
2026-08-16,external_validation,11,11,True
2026-08-17,external_validation,11,0,False
2026-08-18,external_validation,11,11,True
2026-08-19,external_validation,11,11,True
2026-08-20,external_validation,11,11,True
2026-08-21,external_validation,11,11,True
2026-08-22,external_validation,11,11,True
2026-08-23,external_validation,11,11,True
2026-08-24,external_validation,11,11,True
2026-08-25,external_validation,11,11,True
2026-08-26,external_validation,11,11,True
2026-08-27,external_validation,11,11,True
2026-08-28,external_validation,11,11,True
2026-08-29,external_validation,11,11,True
2026-08-30,external_validation,11,11,True
2026-08-31,external_validation,11,11,True
