empirical_period,model,dates,active_dates,positions,yes_positions,no_positions,total_net_pnl,total_entry_capital,mean_gap_closed_fraction,target_hit_positions,forced_open_positions
external_validation,matern32,61,61,383,211,172,-5.355,140.2765,-0.012067042327218894,75,308
external_validation,raw,61,61,365,61,304,-6.261,258.89050000000003,0.024590410456399547,0,365
external_validation,rbf,61,61,380,206,174,-5.349500000000001,142.85150000000002,-0.010111644896166522,72,308
external_validation,static,61,61,380,206,174,-5.349500000000001,142.85150000000002,-0.010111644896166366,72,308
market_development,matern32,90,90,515,272,243,-5.296500000000001,200.729,0.15531557033451926,117,398
market_development,raw,90,90,500,90,410,-11.664,346.30150000000003,0.03976598402730946,0,500
market_development,rbf,90,90,502,260,242,-4.216000000000001,201.497,0.1343093362938547,125,377
market_development,static,90,90,502,260,242,-4.216000000000001,201.497,0.13430933629385464,125,377
